time_index,time_ms,pc1_explained,pc2_explained,pc1_pc2_cumulative,n_pc_80,n_pc_90,participation_ratio
20,-921.8240966796875,0.9119066847294465,0.07564893821570538,0.9875556229451519,1,1,1.1940991070291962
21,-917.915283203125,0.9235566327598386,0.0657735265224752,0.9893301592823138,1,1,1.1663210481363884
22,-914.0065307617188,0.9244031555298269,0.06633058551926949,0.9907337410490964,1,1,1.1641351328603373
23,-910.0977172851562,0.915879115833297,0.07562569419730399,0.991504810030601,1,1,1.1839560196628058
24,-906.1889038085938,0.9025691454662914,0.08904505773506097,0.9916142032013524,1,1,1.2156127373985275
25,-902.2801513671875,0.8870183588618329,0.1045785907369997,0.9915969495988326,1,2,1.253433056227882
26,-898.371337890625,0.8687120832966518,0.12347928462987284,0.9921913679265246,1,2,1.2987539368050662
27,-894.4625244140625,0.8481424943908477,0.14520917568196565,0.9933516700728133,1,2,1.350483399713437
28,-890.5537719726562,0.8305484226393173,0.16349809347799232,0.9940465161173095,1,2,1.395521973668633
29,-886.6449584960938,0.8223202745110655,0.1711237161453856,0.9934439906564511,1,2,1.4173602279072794
30,-882.7361450195312,0.8240146136971213,0.16780851368228641,0.9918231273794077,1,2,1.4139738811812363
31,-878.8273315429688,0.8308959898238301,0.15899982589550798,0.989895815719338,1,2,1.3970945196516824
32,-874.9185791015625,0.8389484996715719,0.14901742704018958,0.9879659267117615,1,2,1.3770584315203604
33,-871.009765625,0.8475057349772983,0.13869421131203258,0.9861999462893309,1,2,1.355578380791833
34,-867.1009521484375,0.8565593079780635,0.129010419193436,0.9855697271714995,1,2,1.3323637826575698
35,-863.1921997070312,0.8643353406999256,0.12247858857296604,0.9868139292728916,1,2,1.3119047540180302
36,-859.2833862304688,0.8707136013577556,0.11813970486543379,0.9888533062231893,1,2,1.2949620298521347
37,-855.3745727539062,0.8781876490660616,0.11187681399635167,0.9900644630624132,1,2,1.2757889845169237
38,-851.4658203125,0.8871097959730979,0.1028396825901805,0.9899494785632784,1,2,1.2536971475476337
39,-847.5570068359375,0.89429524090737,0.09500392803498625,0.9892991689423563,1,2,1.2362402870384461
40,-843.648193359375,0.8972227691248548,0.09170115230775493,0.9889239214326097,1,2,1.2291951374140855
41,-839.7394409179688,0.8978291722672069,0.09121518030649134,0.9890443525736983,1,2,1.22769062404398
42,-835.8306274414062,0.8999571351906434,0.08991223248813185,0.9898693676787752,1,2,1.22232998706171
43,-831.9218139648438,0.9034845003431723,0.08782275097791081,0.9913072513210831,1,1,1.2134852551107655
44,-828.0130004882812,0.9054689131606393,0.0867556986153775,0.9922246117760167,1,1,1.2085162292966054
45,-824.104248046875,0.9043075017768271,0.08769087050594171,0.9919983722827688,1,1,1.211349219137492
46,-820.1954345703125,0.8999836500120516,0.09114245830204731,0.991126108314099,1,2,1.2219616859479816
47,-816.28662109375,0.8935743233638155,0.09667649644565363,0.990250819809469,1,2,1.2377517305029833
48,-812.3778686523438,0.8874038718128123,0.10264555953250663,0.990049431345319,1,2,1.2529432319110678
49,-808.4690551757812,0.8848404998900691,0.10602328216911192,0.990863782059181,1,2,1.2590222841768157
50,-804.5602416992188,0.8885477552822748,0.10322048314880983,0.9917682384310846,1,2,1.2496261377000402
51,-800.6514892578125,0.8957293498628858,0.09569478195836567,0.9914241318212514,1,2,1.23219158930749
52,-796.74267578125,0.8996361841992031,0.09062870578351,0.9902648899827131,1,2,1.223011800734165
53,-792.8338623046875,0.8979126740831148,0.0919244008104292,0.989837074893544,1,2,1.2272942120991868
54,-788.9251098632812,0.8918650981651313,0.09853214567809282,0.990397243843224,1,2,1.241890224009448
55,-785.0162963867188,0.8815214997869009,0.10942596313240373,0.9909474629193046,1,2,1.2672084621506665
56,-781.1074829101562,0.8651815060706957,0.12576638442903879,0.9909478904997344,1,2,1.3081502846715007
57,-777.1986694335938,0.8422591306718724,0.14821190035530002,0.9904710310271725,1,2,1.367132472117672
58,-773.2899169921875,0.8159840254343015,0.17348201433099128,0.9894660397652928,1,2,1.436705432062647
59,-769.381103515625,0.7935105195401853,0.1948126876157772,0.9883232071559624,2,2,1.4975725650826266
60,-765.4722900390625,0.7830794721537345,0.20472946554116694,0.9878089376949015,2,2,1.5260739599777056
61,-761.5635375976562,0.7891919742947184,0.1989018396751173,0.9880938139698358,2,2,1.5093709186702333
