window,target,model,fold,feature,coefficient,alpha
full_pre_response,log_RT_ms,hidden,5,hidden_03,0.02189031057059765,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_04,-0.03368169441819191,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_05,-0.005770011339336634,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_06,-0.0034259166568517685,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_07,0.08022607862949371,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_08,0.01030505821108818,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_09,0.006047381553798914,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_10,0.04379503056406975,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_11,-0.036664385348558426,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_12,0.03658180683851242,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_13,-0.012490577064454556,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_14,-0.007210639771074057,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_15,-0.003797223325818777,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_16,-0.04764300957322121,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_17,0.007835142314434052,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_18,0.028770513832569122,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_19,0.03931712359189987,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_20,0.03038128651678562,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_21,0.006090499460697174,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_22,-0.0320056788623333,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_23,0.022461893036961555,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_24,-0.016083279624581337,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_25,0.010686422698199749,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_26,-0.004356960766017437,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_27,0.0005955410306341946,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_28,-0.012467906810343266,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_29,0.005979739595204592,464.1588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_30,-0.03405986353754997,464.1588833612773
