latent,rt_group,time_ms,mean
z1,fast,137.45928955078125,0.3962419629096985
z1,fast,141.36807250976562,0.3964781165122986
z1,fast,145.27687072753906,0.3966715633869171
z1,fast,149.1856689453125,0.3968240022659302
z1,fast,153.09446716308594,0.396935373544693
z1,fast,157.0032501220703,0.39701047539711
z1,fast,160.91204833984375,0.3970649540424347
z1,fast,164.8208465576172,0.39711785316467285
z1,fast,168.72964477539062,0.39717578887939453
z1,fast,172.63844299316406,0.39723843336105347
z1,fast,176.54722595214844,0.3973025679588318
z1,fast,180.45602416992188,0.3973581790924072
z1,fast,184.3648223876953,0.3974056839942932
z1,fast,188.27362060546875,0.39743614196777344
z1,fast,192.18240356445312,0.3974543511867523
z1,fast,196.09120178222656,0.39747804403305054
z1,fast,200.0,0.3975291848182678
z1,medium,-1000.0,0.0730496421456337
z1,medium,-996.0911865234375,0.13760337233543396
z1,medium,-992.1824340820312,0.19032514095306396
z1,medium,-988.2736206054688,0.23276680707931519
z1,medium,-984.3648071289062,0.26683133840560913
z1,medium,-980.4560546875,0.29414448142051697
z1,medium,-976.5472412109375,0.3160032033920288
z1,medium,-972.638427734375,0.33344483375549316
z1,medium,-968.7296142578125,0.3473134934902191
z1,medium,-964.8208618164062,0.3582935035228729
z1,medium,-960.9120483398438,0.3669740855693817
z1,medium,-957.0032348632812,0.3738377094268799
z1,medium,-953.094482421875,0.3792022466659546
z1,medium,-949.1856689453125,0.3833986222743988
z1,medium,-945.27685546875,0.38674473762512207
z1,medium,-941.3681030273438,0.38948893547058105
z1,medium,-937.4592895507812,0.39177122712135315
z1,medium,-933.5504760742188,0.3936789035797119
z1,medium,-929.6417236328125,0.3952687084674835
z1,medium,-925.73291015625,0.39654821157455444
z1,medium,-921.8240966796875,0.3975553512573242
z1,medium,-917.915283203125,0.398333877325058
z1,medium,-914.0065307617188,0.3989453911781311
z1,medium,-910.0977172851562,0.39943310618400574
z1,medium,-906.1889038085938,0.3998152017593384
z1,medium,-902.2801513671875,0.400129109621048
z1,medium,-898.371337890625,0.4004061222076416
z1,medium,-894.4625244140625,0.40063056349754333
z1,medium,-890.5537719726562,0.4007872939109802
z1,medium,-886.6449584960938,0.40089380741119385
z1,medium,-882.7361450195312,0.40101829171180725
z1,medium,-878.8273315429688,0.40120863914489746
z1,medium,-874.9185791015625,0.4014658033847809
z1,medium,-871.009765625,0.40173864364624023
z1,medium,-867.1009521484375,0.40195369720458984
z1,medium,-863.1921997070312,0.40207841992378235
z1,medium,-859.2833862304688,0.4021187722682953
z1,medium,-855.3745727539062,0.4021119475364685
z1,medium,-851.4658203125,0.40206214785575867
z1,medium,-847.5570068359375,0.4019496440887451
z1,medium,-843.648193359375,0.40180468559265137
z1,medium,-839.7394409179688,0.401658833026886
z1,medium,-835.8306274414062,0.40155816078186035
z1,medium,-831.9218139648438,0.4015257954597473
z1,medium,-828.0130004882812,0.4015803635120392
z1,medium,-824.104248046875,0.40167224407196045
z1,medium,-820.1954345703125,0.4016664922237396
z1,medium,-816.28662109375,0.4015282392501831
z1,medium,-812.3778686523438,0.40129920840263367
z1,medium,-808.4690551757812,0.4010467231273651
z1,medium,-804.5602416992188,0.40080106258392334
z1,medium,-800.6514892578125,0.40058693289756775
z1,medium,-796.74267578125,0.4004175066947937
z1,medium,-792.8338623046875,0.40027737617492676
z1,medium,-788.9251098632812,0.4001660645008087
z1,medium,-785.0162963867188,0.40009668469429016
z1,medium,-781.1074829101562,0.40008366107940674
z1,medium,-777.1986694335938,0.4001559317111969
z1,medium,-773.2899169921875,0.4002857804298401
z1,medium,-769.381103515625,0.4004164934158325
z1,medium,-765.4722900390625,0.40048354864120483
z1,medium,-761.5635375976562,0.4004058241844177
z1,medium,-757.6547241210938,0.4001223146915436
z1,medium,-753.7459106445312,0.3996850252151489
z1,medium,-749.837158203125,0.3991968631744385
z1,medium,-745.9283447265625,0.3987763524055481
z1,medium,-742.01953125,0.39851701259613037
z1,medium,-738.1107788085938,0.3984311521053314
z1,medium,-734.2019653320312,0.3984341621398926
z1,medium,-730.2931518554688,0.39848142862319946
z1,medium,-726.3843383789062,0.3985350728034973
z1,medium,-722.4755859375,0.3985394239425659
z1,medium,-718.5667724609375,0.3984829783439636
z1,medium,-714.657958984375,0.39837250113487244
z1,medium,-710.7492065429688,0.39826130867004395
z1,medium,-706.8403930664062,0.39819684624671936
z1,medium,-702.9315795898438,0.39813026785850525
z1,medium,-699.0228271484375,0.39796963334083557
z1,medium,-695.114013671875,0.39772719144821167
z1,medium,-691.2052001953125,0.39746955037117004
z1,medium,-687.29638671875,0.39725902676582336
z1,medium,-683.3876342773438,0.3971165716648102
z1,medium,-679.4788208007812,0.39706963300704956
z1,medium,-675.5700073242188,0.39713254570961
z1,medium,-671.6612548828125,0.39726710319519043
z1,medium,-667.75244140625,0.3973996341228485
z1,medium,-663.8436279296875,0.3974253833293915
z1,medium,-659.9348754882812,0.3972919285297394
z1,medium,-656.0260620117188,0.3970259726047516
z1,medium,-652.1172485351562,0.39668312668800354
z1,medium,-648.20849609375,0.3963772654533386
z1,medium,-644.2996826171875,0.39617738127708435
z1,medium,-640.390869140625,0.39605191349983215
z1,medium,-636.4820556640625,0.39591383934020996
z1,medium,-632.5733032226562,0.39570263028144836
z1,medium,-628.6644897460938,0.39543774724006653
z1,medium,-624.7556762695312,0.39515820145606995
z1,medium,-620.846923828125,0.39489519596099854
z1,medium,-616.9381103515625,0.3946618139743805
z1,medium,-613.029296875,0.39449501037597656
z1,medium,-609.1205444335938,0.394423246383667
z1,medium,-605.2117309570312,0.39440613985061646
z1,medium,-601.3029174804688,0.3943726420402527
z1,medium,-597.3941650390625,0.3942618668079376
z1,medium,-593.4853515625,0.3940562307834625
z1,medium,-589.5765380859375,0.3937934935092926
z1,medium,-585.667724609375,0.3935370445251465
z1,medium,-581.7589721679688,0.3933373689651489
z1,medium,-577.8501586914062,0.393208384513855
z1,medium,-573.9413452148438,0.39309003949165344
z1,medium,-570.0325927734375,0.3929281234741211
z1,medium,-566.123779296875,0.3927088677883148
z1,medium,-562.2149658203125,0.3924408257007599
z1,medium,-558.3062133789062,0.39215683937072754
z1,medium,-554.3973999023438,0.3918899893760681
z1,medium,-550.4885864257812,0.3916558027267456
z1,medium,-546.579833984375,0.39147573709487915
z1,medium,-542.6710205078125,0.3913392126560211
z1,medium,-538.76220703125,0.39118894934654236
z1,medium,-534.8533935546875,0.39095449447631836
z1,medium,-530.9446411132812,0.39063987135887146
z1,medium,-527.0358276367188,0.3903370797634125
z1,medium,-523.1270141601562,0.39009997248649597
z1,medium,-519.21826171875,0.3899330794811249
z1,medium,-515.3094482421875,0.38986730575561523
z1,medium,-511.4006652832031,0.38992729783058167
z1,medium,-507.4918518066406,0.39008069038391113
z1,medium,-503.58306884765625,0.3902658522129059
z1,medium,-499.67425537109375,0.39042526483535767
z1,medium,-495.7654724121094,0.39048710465431213
z1,medium,-491.856689453125,0.39043232798576355
z1,medium,-487.9478759765625,0.39031484723091125
z1,medium,-484.0390930175781,0.390188604593277
z1,medium,-480.1302795410156,0.3900693953037262
z1,medium,-476.22149658203125,0.3899686932563782
z1,medium,-472.3127136230469,0.3898738920688629
z1,medium,-468.4039001464844,0.3897343575954437
z1,medium,-464.4951171875,0.3895162045955658
z1,medium,-460.5863342285156,0.3892512321472168
z1,medium,-456.6775207519531,0.3889783024787903
z1,medium,-452.76873779296875,0.38873130083084106
z1,medium,-448.85992431640625,0.3885052800178528
z1,medium,-444.9511413574219,0.38828790187835693
z1,medium,-441.0423583984375,0.3881152868270874
z1,medium,-437.133544921875,0.38799723982810974
z1,medium,-433.2247619628906,0.38790565729141235
z1,medium,-429.3159484863281,0.3878333866596222
z1,medium,-425.40716552734375,0.38778820633888245
z1,medium,-421.4983825683594,0.38774895668029785
z1,medium,-417.5895690917969,0.3877045512199402
z1,medium,-413.6807861328125,0.38768619298934937
z1,medium,-409.77197265625,0.3877412974834442
z1,medium,-405.8631896972656,0.3878712058067322
z1,medium,-401.95440673828125,0.3880622088909149
z1,medium,-398.04559326171875,0.3883160650730133
z1,medium,-394.1368103027344,0.38862255215644836
z1,medium,-390.22802734375,0.3889531195163727
z1,medium,-386.3192138671875,0.3892764151096344
z1,medium,-382.4104309082031,0.38956522941589355
z1,medium,-378.5016174316406,0.3898071348667145
z1,medium,-374.59283447265625,0.39000949263572693
z1,medium,-370.6840515136719,0.39015233516693115
z1,medium,-366.7752380371094,0.3902099132537842
z1,medium,-362.866455078125,0.3901923596858978
z1,medium,-358.9576416015625,0.39015328884124756
z1,medium,-355.0488586425781,0.39013996720314026
z1,medium,-351.14007568359375,0.3901670575141907
z1,medium,-347.23126220703125,0.3902246654033661
z1,medium,-343.3224792480469,0.39028120040893555
z1,medium,-339.4136657714844,0.39032623171806335
z1,medium,-335.5048828125,0.3903781771659851
z1,medium,-331.5960998535156,0.3904537260532379
z1,medium,-327.6872863769531,0.3905601501464844
z1,medium,-323.77850341796875,0.3906950056552887
z1,medium,-319.8697204589844,0.39083537459373474
z1,medium,-315.9609069824219,0.39094963669776917
z1,medium,-312.0521240234375,0.39104241132736206
z1,medium,-308.143310546875,0.39111992716789246
z1,medium,-304.2345275878906,0.39118584990501404
z1,medium,-300.32574462890625,0.3912673890590668
z1,medium,-296.41693115234375,0.39140352606773376
z1,medium,-292.5081481933594,0.3916111886501312
z1,medium,-288.5993347167969,0.39185741543769836
z1,medium,-284.6905517578125,0.39210203289985657
z1,medium,-280.7817687988281,0.3922778069972992
z1,medium,-276.8729553222656,0.392339825630188
z1,medium,-272.96417236328125,0.39231520891189575
z1,medium,-269.0553894042969,0.3922678232192993
z1,medium,-265.1465759277344,0.3922342360019684
z1,medium,-261.23779296875,0.3922160565853119
z1,medium,-257.3289794921875,0.392196923494339
z1,medium,-253.42019653320312,0.392167866230011
z1,medium,-249.5113983154297,0.3921285569667816
z1,medium,-245.60260009765625,0.39206641912460327
z1,medium,-241.69381713867188,0.3919696509838104
z1,medium,-237.78501892089844,0.39184942841529846
z1,medium,-233.876220703125,0.3917337954044342
z1,medium,-229.96742248535156,0.39166536927223206
z1,medium,-226.0586395263672,0.3916666805744171
z1,medium,-222.14984130859375,0.391741544008255
z1,medium,-218.2410430908203,0.39186933636665344
z1,medium,-214.33224487304688,0.392056941986084
z1,medium,-210.42344665527344,0.39229336380958557
z1,medium,-206.51466369628906,0.39254090189933777
z1,medium,-202.60586547851562,0.3927883803844452
z1,medium,-198.6970672607422,0.39304620027542114
z1,medium,-194.78826904296875,0.3932979106903076
z1,medium,-190.87948608398438,0.39350205659866333
z1,medium,-186.97068786621094,0.3936401605606079
z1,medium,-183.0618896484375,0.39369314908981323
z1,medium,-179.15309143066406,0.39365848898887634
z1,medium,-175.24429321289062,0.3935563266277313
z1,medium,-171.33551025390625,0.3934260904788971
z1,medium,-167.4267120361328,0.3932923376560211
z1,medium,-163.51791381835938,0.39315977692604065
z1,medium,-159.60911560058594,0.3930310606956482
z1,medium,-155.70033264160156,0.39292556047439575
z1,medium,-151.79153442382812,0.39288130402565
z1,medium,-147.8827362060547,0.3929293751716614
z1,medium,-143.97393798828125,0.3930697739124298
z1,medium,-140.0651397705078,0.3932606875896454
z1,medium,-136.15635681152344,0.3934585452079773
z1,medium,-132.24755859375,0.39364123344421387
z1,medium,-128.33876037597656,0.39377689361572266
z1,medium,-124.42996978759766,0.3938707709312439
z1,medium,-120.52117156982422,0.39396950602531433
z1,medium,-116.61238098144531,0.39410728216171265
z1,medium,-112.70358276367188,0.3942703902721405
z1,medium,-108.79478454589844,0.394438236951828
z1,medium,-104.88599395751953,0.39461180567741394
z1,medium,-100.9771957397461,0.3947874903678894
z1,medium,-97.06840515136719,0.39493972063064575
z1,medium,-93.15960693359375,0.3950267732143402
z1,medium,-89.25081634521484,0.39503467082977295
z1,medium,-85.3420181274414,0.39500609040260315
z1,medium,-81.4332275390625,0.39498186111450195
z1,medium,-77.52442932128906,0.39497748017311096
z1,medium,-73.61563873291016,0.3949804902076721
z1,medium,-69.70684051513672,0.394964337348938
z1,medium,-65.79804229736328,0.39491626620292664
z1,medium,-61.889251708984375,0.3948618769645691
z1,medium,-57.9804573059082,0.3948248326778412
z1,medium,-54.07166290283203,0.39480191469192505
z1,medium,-50.162864685058594,0.3947908878326416
z1,medium,-46.25407028198242,0.39480090141296387
