time_ms,latent,correlation_with_log_rt
-394.1368103027344,z1,0.06549084439575115
-390.22802734375,z1,0.06431743893211019
-386.3192138671875,z1,0.06376390321043603
-382.4104309082031,z1,0.06423825579336082
-378.5016174316406,z1,0.06593011053506345
-374.59283447265625,z1,0.068575777746778
-370.6840515136719,z1,0.07156443416107798
-366.7752380371094,z1,0.07447586654258327
-362.866455078125,z1,0.07705289554353831
-358.9576416015625,z1,0.07967428815440386
-355.0488586425781,z1,0.08242685202223433
-351.14007568359375,z1,0.08513717232863693
-347.23126220703125,z1,0.08758654885204302
-343.3224792480469,z1,0.08982439645266109
-339.4136657714844,z1,0.09195416259274986
-335.5048828125,z1,0.09407595258655453
-331.5960998535156,z1,0.09590229281786819
-327.6872863769531,z1,0.0972427264960952
-323.77850341796875,z1,0.09825420001960455
-319.8697204589844,z1,0.09897862674247003
-315.9609069824219,z1,0.0994741663049319
-312.0521240234375,z1,0.09980949319347886
-308.143310546875,z1,0.09971600864108891
-304.2345275878906,z1,0.09936702759902337
-300.32574462890625,z1,0.0994935051281719
-296.41693115234375,z1,0.1006361180885127
-292.5081481933594,z1,0.10264752862519258
-288.5993347167969,z1,0.10492824030440022
-284.6905517578125,z1,0.10679893231297462
-280.7817687988281,z1,0.10800963460944228
-276.8729553222656,z1,0.10867269933332453
-272.96417236328125,z1,0.10932751341518797
-269.0553894042969,z1,0.11031629570682613
-265.1465759277344,z1,0.11157333902418227
-261.23779296875,z1,0.1130673107155741
-257.3289794921875,z1,0.1144730265142497
-253.42019653320312,z1,0.11542433204204153
-249.5113983154297,z1,0.11597038456461825
-245.60260009765625,z1,0.11620010627890057
-241.69381713867188,z1,0.1161913667489799
-237.78501892089844,z1,0.11581009487482295
-233.876220703125,z1,0.11507094163253921
-229.96742248535156,z1,0.11393829531543852
-226.0586395263672,z1,0.11264830576961886
-222.14984130859375,z1,0.11147453067881215
-218.2410430908203,z1,0.11062461397314845
-214.33224487304688,z1,0.11006338835419005
-210.42344665527344,z1,0.10927212939029239
-206.51466369628906,z1,0.10776541174027103
-202.60586547851562,z1,0.10558952922675906
-198.6970672607422,z1,0.10316063678370183
-194.78826904296875,z1,0.1008128582057304
-190.87948608398438,z1,0.09865230863639327
-186.97068786621094,z1,0.09685152622742792
-183.0618896484375,z1,0.09550122690137239
-179.15309143066406,z1,0.09446675704986612
-175.24429321289062,z1,0.09368764934585923
-171.33551025390625,z1,0.09318990730791797
-167.4267120361328,z1,0.09341286802375544
-163.51791381835938,z1,0.09473703267895099
-159.60911560058594,z1,0.09706736557045226
-155.70033264160156,z1,0.10001365929145944
-151.79153442382812,z1,0.10330930259043958
-147.8827362060547,z1,0.10670961312127411
-143.97393798828125,z1,0.10970660995890509
-140.0651397705078,z1,0.11199817478502852
-136.15635681152344,z1,0.11355728500940257
-132.24755859375,z1,0.11411524603306021
-128.33876037597656,z1,0.11332994068237853
-124.42996978759766,z1,0.11104446216197404
-120.52117156982422,z1,0.10724068722477166
-116.61238098144531,z1,0.10275111174046576
-112.70358276367188,z1,0.09923487445687615
-108.79478454589844,z1,0.09779932899557928
-104.88599395751953,z1,0.09847875108332164
-100.9771957397461,z1,0.10059731290622193
-97.06840515136719,z1,0.10296121924647063
-93.15960693359375,z1,0.10461634935278476
-89.25081634521484,z1,0.10507966324829723
-85.3420181274414,z1,0.10429229586090215
-81.4332275390625,z1,0.10259674313589004
-77.52442932128906,z1,0.10022881808818014
-73.61563873291016,z1,0.09748806317993088
