window,target,model,fold,feature,coefficient,alpha
full_pre_response,log_RT_ms,hidden,4,hidden_06,0.010197953321039677,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_07,0.0968029573559761,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_08,0.034533385187387466,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_09,0.02178882621228695,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_10,0.06549755483865738,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_11,-0.06132816895842552,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_12,0.03389535844326019,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_13,-0.116813063621521,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_14,0.00991899985820055,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_15,-0.0009567143279127777,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_16,-0.06687179207801819,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_17,0.041815925389528275,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_18,0.11503025889396667,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_19,0.05390935018658638,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_20,0.058936331421136856,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_21,0.018733706325292587,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_22,-0.02388046868145466,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_23,0.014053132385015488,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_24,-0.019555049017071724,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_25,0.01564401015639305,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_26,0.012297426350414753,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_27,0.02243863046169281,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_28,0.00771286292001605,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_29,0.014791073277592659,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_30,-0.1418716460466385,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_31,-0.04190368205308914,46.41588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_00,-0.1242474839091301,46.41588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_01,0.00284850993193686,46.41588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_02,0.061637308448553085,46.41588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_03,0.09221150726079941,46.41588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_04,-0.00831668358296156,46.41588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_05,-0.008874131366610527,46.41588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_06,0.01611511781811714,46.41588833612773
full_pre_response,log_RT_ms,hidden,5,hidden_07,0.09667307883501053,46.41588833612773
