window,model,fold,feature,coefficient
early (-600 to -300 ms),baseline+cpp,1,baseline_3,0.009343539364635944
early (-600 to -300 ms),baseline+cpp,1,baseline_4,0.026398256421089172
early (-600 to -300 ms),baseline+cpp,1,cpp_mean,0.08292371034622192
early (-600 to -300 ms),baseline+cpp,1,cpp_late,-0.11061584949493408
early (-600 to -300 ms),baseline+cpp,1,cpp_slope,0.03327983617782593
early (-600 to -300 ms),baseline+cpp,2,baseline_0,0.05882103368639946
early (-600 to -300 ms),baseline+cpp,2,baseline_1,-0.02765253186225891
early (-600 to -300 ms),baseline+cpp,2,baseline_2,-0.040442004799842834
early (-600 to -300 ms),baseline+cpp,2,baseline_3,0.005762593820691109
early (-600 to -300 ms),baseline+cpp,2,baseline_4,0.02091265842318535
early (-600 to -300 ms),baseline+cpp,2,cpp_mean,0.09678341448307037
early (-600 to -300 ms),baseline+cpp,2,cpp_late,-0.12465974688529968
early (-600 to -300 ms),baseline+cpp,2,cpp_slope,0.04324343055486679
early (-600 to -300 ms),baseline+cpp,3,baseline_0,0.05605992302298546
early (-600 to -300 ms),baseline+cpp,3,baseline_1,-0.02644726261496544
early (-600 to -300 ms),baseline+cpp,3,baseline_2,-0.039205171167850494
early (-600 to -300 ms),baseline+cpp,3,baseline_3,0.007817876525223255
early (-600 to -300 ms),baseline+cpp,3,baseline_4,0.0231899693608284
early (-600 to -300 ms),baseline+cpp,3,cpp_mean,0.0784946084022522
early (-600 to -300 ms),baseline+cpp,3,cpp_late,-0.1061834916472435
early (-600 to -300 ms),baseline+cpp,3,cpp_slope,0.03414338454604149
early (-600 to -300 ms),baseline+cpp,4,baseline_0,0.05613168329000473
early (-600 to -300 ms),baseline+cpp,4,baseline_1,-0.023513300344347954
early (-600 to -300 ms),baseline+cpp,4,baseline_2,-0.03736560046672821
early (-600 to -300 ms),baseline+cpp,4,baseline_3,0.008821792900562286
early (-600 to -300 ms),baseline+cpp,4,baseline_4,0.020065225660800934
early (-600 to -300 ms),baseline+cpp,4,cpp_mean,0.08894054591655731
early (-600 to -300 ms),baseline+cpp,4,cpp_late,-0.11921434104442596
early (-600 to -300 ms),baseline+cpp,4,cpp_slope,0.04232936352491379
early (-600 to -300 ms),baseline+cpp,5,baseline_0,0.060214050114154816
early (-600 to -300 ms),baseline+cpp,5,baseline_1,-0.024144794791936874
early (-600 to -300 ms),baseline+cpp,5,baseline_2,-0.031722716987133026
early (-600 to -300 ms),baseline+cpp,5,baseline_3,0.01173461228609085
early (-600 to -300 ms),baseline+cpp,5,baseline_4,0.023914344608783722
early (-600 to -300 ms),baseline+cpp,5,cpp_mean,0.09636644273996353
early (-600 to -300 ms),baseline+cpp,5,cpp_late,-0.13704290986061096
early (-600 to -300 ms),baseline+cpp,5,cpp_slope,0.0529148168861866
early (-600 to -300 ms),baseline+cpp+z,1,baseline_0,0.05706626549363136
early (-600 to -300 ms),baseline+cpp+z,1,baseline_1,-0.021951884031295776
early (-600 to -300 ms),baseline+cpp+z,1,baseline_2,-0.03533761948347092
early (-600 to -300 ms),baseline+cpp+z,1,baseline_3,0.007892669178545475
early (-600 to -300 ms),baseline+cpp+z,1,baseline_4,0.024904511868953705
early (-600 to -300 ms),baseline+cpp+z,1,cpp_mean,0.01299622654914856
early (-600 to -300 ms),baseline+cpp+z,1,cpp_late,-0.08012617379426956
early (-600 to -300 ms),baseline+cpp+z,1,cpp_slope,0.029831573367118835
early (-600 to -300 ms),baseline+cpp+z,1,z1_mean,-0.012160852551460266
early (-600 to -300 ms),baseline+cpp+z,1,z2_mean,-0.046413909643888474
early (-600 to -300 ms),baseline+cpp+z,1,z3_mean,-0.03437152877449989
early (-600 to -300 ms),baseline+cpp+z,1,z4_mean,-0.02111981064081192
early (-600 to -300 ms),baseline+cpp+z,1,z5_mean,0.019376767799258232
early (-600 to -300 ms),baseline+cpp+z,2,baseline_0,0.05626784265041351
early (-600 to -300 ms),baseline+cpp+z,2,baseline_1,-0.027106158435344696
early (-600 to -300 ms),baseline+cpp+z,2,baseline_2,-0.03782668709754944
