window,model,feature,mean,ci_lower,ci_upper
full (-600 to -50 ms),baseline+cpp+z,z4_mean,-0.011630925349891186,-0.033554470539093016,0.0019897427409887314
full (-600 to -50 ms),baseline+cpp+z,z5_mean,0.007264384953305125,-0.0045649655628949405,0.02530084322206676
full (-600 to -50 ms),baseline+z,z1_mean,-0.006421760842204094,-0.03590351976454258,0.01230013519525528
full (-600 to -50 ms),baseline+z,z2_mean,-0.024449362233281136,-0.03708884045481682,-0.015525134652853012
full (-600 to -50 ms),baseline+z,z3_mean,-0.004415612481534481,-0.013674991950392724,0.011675540916621685
full (-600 to -50 ms),baseline+z,z4_mean,-0.04575475007295608,-0.08747927024960518,-0.022597185522317886
full (-600 to -50 ms),baseline+z,z5_mean,0.050276169925928114,0.028159748762845993,0.08731087669730186
full (-600 to -50 ms),z-only,z1_mean,-0.012649057246744633,-0.04860765282064676,0.011725962907075883
full (-600 to -50 ms),z-only,z2_mean,-0.028553918376564978,-0.04355396330356598,-0.016325603425502776
full (-600 to -50 ms),z-only,z3_mean,-0.004387981258332729,-0.01547341737896204,0.015007531642913819
full (-600 to -50 ms),z-only,z4_mean,-0.05371850319206715,-0.10366071462631225,-0.023059995472431184
full (-600 to -50 ms),z-only,z5_mean,0.0592682208865881,0.029703519865870477,0.10228551514446735
late (-120 to -50 ms),baseline+cpp+z,z1_mean,0.014353756979107856,0.005727909505367279,0.021358458697795867
late (-120 to -50 ms),baseline+cpp+z,z2_mean,0.03451010063290596,0.027854419499635696,0.040932287275791165
late (-120 to -50 ms),baseline+cpp+z,z3_mean,0.02124459929764271,0.018415217474102973,0.02407398112118244
late (-120 to -50 ms),baseline+cpp+z,z4_mean,-0.016650548204779625,-0.029815758764743804,-0.009277091175317765
late (-120 to -50 ms),baseline+cpp+z,z5_mean,0.027134476974606515,0.020364808663725854,0.03725536614656448
late (-120 to -50 ms),baseline+z,z1_mean,0.015001169592142104,0.0049263063818216326,0.022435018559917717
late (-120 to -50 ms),baseline+z,z2_mean,0.0235211331397295,0.021385343745350838,0.02631952688097954
late (-120 to -50 ms),baseline+z,z3_mean,0.009400244895368814,0.003530475962907076,0.018458469677716492
late (-120 to -50 ms),baseline+z,z4_mean,-0.012079292349517346,-0.03055897165555507,-0.0023746855091303586
late (-120 to -50 ms),baseline+z,z5_mean,0.016881575621664525,0.0084392461925745,0.03183149136602879
late (-120 to -50 ms),z-only,z1_mean,0.013049264997243881,0.0035705298185348512,0.019785535335540772
late (-120 to -50 ms),z-only,z2_mean,0.02189764529466629,0.019896042346954346,0.023858805373311042
late (-120 to -50 ms),z-only,z3_mean,0.011180382501333953,0.005615163780748844,0.020479788817465306
late (-120 to -50 ms),z-only,z4_mean,-0.012797810230404138,-0.031643188744783404,-0.00297461049631238
late (-120 to -50 ms),z-only,z5_mean,0.019438771717250346,0.011517887562513351,0.033666704408824445
mid (-300 to -120 ms),baseline+cpp+z,z1_mean,0.028392980992794036,0.02344108298420906,0.03345340266823769
mid (-300 to -120 ms),baseline+cpp+z,z2_mean,0.020102810859680176,0.01583571806550026,0.024196548014879228
mid (-300 to -120 ms),baseline+cpp+z,z3_mean,0.014724926836788655,0.011696313135325908,0.018718357756733896
mid (-300 to -120 ms),baseline+cpp+z,z4_mean,-0.00406443364918232,-0.012892533838748933,0.0018871597945690154
mid (-300 to -120 ms),baseline+cpp+z,z5_mean,0.01864763703197241,0.012113461457192897,0.026606769859790803
mid (-300 to -120 ms),baseline+z,z1_mean,0.017816221341490746,0.0028018131852149963,0.028068849444389345
mid (-300 to -120 ms),baseline+z,z2_mean,0.006439836835488677,0.002703964849933982,0.010080442018806934
mid (-300 to -120 ms),baseline+z,z3_mean,0.0070635014679282905,0.0010290497448295355,0.017763176560401918
mid (-300 to -120 ms),baseline+z,z4_mean,-0.016324250493198633,-0.039336330723017454,-0.0039384237490594385
mid (-300 to -120 ms),baseline+z,z5_mean,0.022927933558821677,0.011536801420152187,0.042426003515720366
mid (-300 to -120 ms),z-only,z1_mean,0.013463282957673073,-0.004002281278371811,0.024930821359157564
mid (-300 to -120 ms),z-only,z2_mean,0.004651096323505044,0.00015860977582633496,0.00816913489252329
mid (-300 to -120 ms),z-only,z3_mean,0.009393444284796715,0.002856640797108412,0.021851354418322443
mid (-300 to -120 ms),z-only,z4_mean,-0.019684098195284605,-0.04757949160411954,-0.00545302927494049
mid (-300 to -120 ms),z-only,z5_mean,0.02640335652977228,0.012852776050567626,0.05088439229875803
