window,model,fold,r2,corr,alpha,n_train,n_test,delta_vs_baseline,delta_vs_cpp
early (-600 to -300 ms),baseline+shuffled-z,1,0.05927255386516739,0.2643027920677517,277.35626141984125,5863,1434,-0.0005541251438559991,-0.0811739667948066
early (-600 to -300 ms),baseline+shuffled-z,2,0.072532025492833,0.2745264227861615,164.130719537513,5754,1543,-0.002762018490578111,-0.05347261944439219
early (-600 to -300 ms),baseline+shuffled-z,3,0.06507836657142141,0.3010134195894917,213.3604526501411,5865,1432,0.0005458697964852988,-0.09316594192212135
early (-600 to -300 ms),baseline+shuffled-z,4,0.13543920952501443,0.379443266094866,213.3604526501411,5844,1453,0.0002822713991678105,-0.061304955767335634
early (-600 to -300 ms),baseline+shuffled-z,5,0.07048178549374062,0.3253626376675736,277.35626141984125,5862,1435,0.001343734433903343,0.05907048024174388
early (-600 to -300 ms),baseline+cpp,1,0.14044652065997398,0.382622376740892,9.162739011886732,5863,1434,0.0806198416509506,0.0
early (-600 to -300 ms),baseline+cpp,2,0.12600464493722519,0.3568146233715528,0.01,5754,1543,0.05071060095381408,0.0
early (-600 to -300 ms),baseline+cpp,3,0.15824430849354276,0.429645089738131,34.013049382792495,5865,1432,0.09371181171860665,0.0
early (-600 to -300 ms),baseline+cpp,4,0.19674416529235006,0.4537557793093807,44.21499907374487,5844,1453,0.061587227166503444,0.0
early (-600 to -300 ms),baseline+cpp,5,0.01141130525199674,0.28551080640421334,11.911031332830067,5862,1435,-0.05772674580784054,0.0
early (-600 to -300 ms),baseline+cpp+z,1,0.1687473766034242,0.42157597255335033,126.26001098748551,5863,1434,0.10892069759440082,0.02830085594345022
early (-600 to -300 ms),baseline+cpp+z,2,0.16196962338585996,0.4038065159978417,97.12740198471168,5754,1543,0.08667557940244885,0.03596497844863478
early (-600 to -300 ms),baseline+cpp+z,3,0.17168122108418638,0.4436057719765795,213.3604526501411,5865,1432,0.10714872430925027,0.013436912590643613
early (-600 to -300 ms),baseline+cpp+z,4,0.2042479298519937,0.46314665531258614,277.35626141984125,5844,1453,0.06909099172614708,0.007503764559643633
