seed,subject_id,cpp_feature,z_feature,within_subject_corr
0,sub-STSWD1178,CPP_late_mean,aligned_z2_late_mean,0.9716733694076538
0,sub-STSWD1182,CPP_late_mean,aligned_z2_late_mean,0.9394038915634155
0,sub-STSWD1215,CPP_late_mean,aligned_z2_late_mean,0.9746516942977905
0,sub-STSWD1216,CPP_late_mean,aligned_z2_late_mean,0.6585885286331177
0,sub-STSWD1219,CPP_late_mean,aligned_z2_late_mean,0.9698342084884644
0,sub-STSWD1223,CPP_late_mean,aligned_z2_late_mean,0.9655662775039673
0,sub-STSWD1227,CPP_late_mean,aligned_z2_late_mean,0.9688645601272583
0,sub-STSWD1233,CPP_late_mean,aligned_z2_late_mean,0.9697335362434387
0,sub-STSWD1234,CPP_late_mean,aligned_z2_late_mean,0.9758362174034119
0,sub-STSWD1237,CPP_late_mean,aligned_z2_late_mean,0.9827655553817749
0,sub-STSWD1239,CPP_late_mean,aligned_z2_late_mean,0.973530650138855
0,sub-STSWD1240,CPP_late_mean,aligned_z2_late_mean,0.971502423286438
0,sub-STSWD1243,CPP_late_mean,aligned_z2_late_mean,0.9743112325668335
0,sub-STSWD1245,CPP_late_mean,aligned_z2_late_mean,0.9679481983184814
0,sub-STSWD1247,CPP_late_mean,aligned_z2_late_mean,0.981930136680603
0,sub-STSWD1250,CPP_late_mean,aligned_z2_late_mean,0.9841300249099731
0,sub-STSWD1252,CPP_late_mean,aligned_z2_late_mean,0.9672628045082092
0,sub-STSWD1257,CPP_late_mean,aligned_z2_late_mean,0.971939742565155
0,sub-STSWD1261,CPP_late_mean,aligned_z2_late_mean,0.985965371131897
0,sub-STSWD1265,CPP_late_mean,aligned_z2_late_mean,0.9543237686157227
0,sub-STSWD1266,CPP_late_mean,aligned_z2_late_mean,0.9707109928131104
0,sub-STSWD1268,CPP_late_mean,aligned_z2_late_mean,0.9723960161209106
0,sub-STSWD1270,CPP_late_mean,aligned_z2_late_mean,0.9790627956390381
0,sub-STSWD1276,CPP_late_mean,aligned_z2_late_mean,0.966688334941864
