seed,cpp_feature,z_feature,pooled_corr
1,CPP_peak_time,aligned_z1_slope,0.2417018459734217
1,CPP_peak_time,aligned_z1_peak,-0.03790261968970299
1,CPP_peak_time,aligned_z1_peak_time,0.7040725946426392
1,CPP_peak_time,aligned_z2_late_mean,0.27616649866104126
1,CPP_peak_time,aligned_z2_slope,0.2606159313678634
1,CPP_peak_time,aligned_z2_peak,-0.051201485097408295
1,CPP_peak_time,aligned_z2_peak_time,0.8079363107681274
1,CPP_peak_time,aligned_z3_late_mean,0.26495203375816345
1,CPP_peak_time,aligned_z3_slope,0.250291949420632
1,CPP_peak_time,aligned_z3_peak,-0.03495769202709198
1,CPP_peak_time,aligned_z3_peak_time,0.7757758498191833
1,CPP_peak_time,aligned_z4_late_mean,0.251010924577713
1,CPP_peak_time,aligned_z4_slope,0.2422443323568962
1,CPP_peak_time,aligned_z4_peak,-0.03555089980363846
1,CPP_peak_time,aligned_z4_peak_time,0.5212007761001587
1,CPP_peak_time,aligned_z5_late_mean,0.2240978479385376
1,CPP_peak_time,aligned_z5_slope,0.21219600769993496
1,CPP_peak_time,aligned_z5_peak,-0.03396432101726532
1,CPP_peak_time,aligned_z5_peak_time,0.46425068378448486
2,CPP_late_mean,aligned_z1_late_mean,0.8996148109436035
2,CPP_late_mean,aligned_z1_slope,0.4396182520898389
2,CPP_late_mean,aligned_z1_peak,0.4917948842048645
2,CPP_late_mean,aligned_z1_peak_time,0.2564024329185486
2,CPP_late_mean,aligned_z2_late_mean,0.9166853427886963
2,CPP_late_mean,aligned_z2_slope,0.4566314078405027
2,CPP_late_mean,aligned_z2_peak,0.526580274105072
2,CPP_late_mean,aligned_z2_peak_time,0.2950459122657776
2,CPP_late_mean,aligned_z3_late_mean,0.907474160194397
2,CPP_late_mean,aligned_z3_slope,0.4384810419010889
2,CPP_late_mean,aligned_z3_peak,0.5178178548812866
2,CPP_late_mean,aligned_z3_peak_time,0.2777327001094818
2,CPP_late_mean,aligned_z4_late_mean,0.8344595432281494
2,CPP_late_mean,aligned_z4_slope,0.42566390875265897
2,CPP_late_mean,aligned_z4_peak,0.45771491527557373
2,CPP_late_mean,aligned_z4_peak_time,0.258056640625
2,CPP_late_mean,aligned_z5_late_mean,0.6377670764923096
2,CPP_late_mean,aligned_z5_slope,0.3535328907157835
2,CPP_late_mean,aligned_z5_peak,0.31995105743408203
2,CPP_late_mean,aligned_z5_peak_time,0.15076640248298645
2,CPP_slope,aligned_z1_late_mean,0.41565935284182093
2,CPP_slope,aligned_z1_slope,0.9008309158797245
2,CPP_slope,aligned_z1_peak,-0.059467676686280654
2,CPP_slope,aligned_z1_peak_time,0.21769244631064089
2,CPP_slope,aligned_z2_late_mean,0.4221350539834958
2,CPP_slope,aligned_z2_slope,0.9148388509078249
2,CPP_slope,aligned_z2_peak,-0.05356663837413174
2,CPP_slope,aligned_z2_peak_time,0.25085911280912976
2,CPP_slope,aligned_z3_late_mean,0.4342710155575775
2,CPP_slope,aligned_z3_slope,0.9117009153862409
2,CPP_slope,aligned_z3_peak,-0.04476641413584205
2,CPP_slope,aligned_z3_peak_time,0.24387787978497827
2,CPP_slope,aligned_z4_late_mean,0.3942615589872785
2,CPP_slope,aligned_z4_slope,0.8394142104843698
2,CPP_slope,aligned_z4_peak,-0.0472727071095969
2,CPP_slope,aligned_z4_peak_time,0.22620225713231665
2,CPP_slope,aligned_z5_late_mean,0.31387362791664
2,CPP_slope,aligned_z5_slope,0.6503229307012297
2,CPP_slope,aligned_z5_peak,-0.006113162216263308
2,CPP_slope,aligned_z5_peak_time,0.12973813822120062
2,CPP_peak,aligned_z1_late_mean,0.4680277705192566
2,CPP_peak,aligned_z1_slope,-0.03289307542404389
2,CPP_peak,aligned_z1_peak,0.8290010690689087
2,CPP_peak,aligned_z1_peak_time,-0.018527468666434288
2,CPP_peak,aligned_z2_late_mean,0.5946054458618164
2,CPP_peak,aligned_z2_slope,-0.045131788456089644
2,CPP_peak,aligned_z2_peak,0.9254249334335327
2,CPP_peak,aligned_z2_peak_time,-0.009901581332087517
2,CPP_peak,aligned_z3_late_mean,0.5123768448829651
2,CPP_peak,aligned_z3_slope,-0.03937654347321466
2,CPP_peak,aligned_z3_peak,0.891113817691803
2,CPP_peak,aligned_z3_peak_time,-0.006918936036527157
2,CPP_peak,aligned_z4_late_mean,0.41818931698799133
2,CPP_peak,aligned_z4_slope,-0.00947520234625963
2,CPP_peak,aligned_z4_peak,0.7330225706100464
2,CPP_peak,aligned_z4_peak_time,-0.004459921270608902
2,CPP_peak,aligned_z5_late_mean,0.32686513662338257
2,CPP_peak,aligned_z5_slope,-0.0009642176819078287
2,CPP_peak,aligned_z5_peak,0.4935125410556793
2,CPP_peak,aligned_z5_peak_time,-0.01945994421839714
2,CPP_peak_time,aligned_z1_late_mean,0.2493634819984436
2,CPP_peak_time,aligned_z1_slope,0.23056315072211597
2,CPP_peak_time,aligned_z1_peak,-0.05017883703112602
2,CPP_peak_time,aligned_z1_peak_time,0.6492325067520142
2,CPP_peak_time,aligned_z2_late_mean,0.2800599932670593
2,CPP_peak_time,aligned_z2_slope,0.27251299922795597
2,CPP_peak_time,aligned_z2_peak,-0.0560942105948925
2,CPP_peak_time,aligned_z2_peak_time,0.8009802103042603
2,CPP_peak_time,aligned_z3_late_mean,0.2613970637321472
2,CPP_peak_time,aligned_z3_slope,0.2529062503647074
2,CPP_peak_time,aligned_z3_peak,-0.04222380369901657
2,CPP_peak_time,aligned_z3_peak_time,0.675933301448822
2,CPP_peak_time,aligned_z4_late_mean,0.24705550074577332
2,CPP_peak_time,aligned_z4_slope,0.2373470688984462
2,CPP_peak_time,aligned_z4_peak,-0.028640184551477432
2,CPP_peak_time,aligned_z4_peak_time,0.5393806099891663
2,CPP_peak_time,aligned_z5_late_mean,0.18715471029281616
2,CPP_peak_time,aligned_z5_slope,0.19097309262990295
2,CPP_peak_time,aligned_z5_peak,-0.019380275160074234
2,CPP_peak_time,aligned_z5_peak_time,0.3123183846473694
3,CPP_late_mean,aligned_z1_late_mean,0.9201722145080566
3,CPP_late_mean,aligned_z1_slope,0.45797353253962614
3,CPP_late_mean,aligned_z1_peak,0.5140856504440308
3,CPP_late_mean,aligned_z1_peak_time,0.28698092699050903
3,CPP_late_mean,aligned_z2_late_mean,0.7792766094207764
3,CPP_late_mean,aligned_z2_slope,0.3951235496003678
3,CPP_late_mean,aligned_z2_peak,0.4587419033050537
3,CPP_late_mean,aligned_z2_peak_time,0.26766106486320496
3,CPP_late_mean,aligned_z3_late_mean,0.9279135465621948
3,CPP_late_mean,aligned_z3_slope,0.45960185444425206
3,CPP_late_mean,aligned_z3_peak,0.5296160578727722
3,CPP_late_mean,aligned_z3_peak_time,0.28656333684921265
3,CPP_late_mean,aligned_z4_late_mean,0.8872508406639099
3,CPP_late_mean,aligned_z4_slope,0.43472763733943354
3,CPP_late_mean,aligned_z4_peak,0.4893776774406433
3,CPP_late_mean,aligned_z4_peak_time,0.2519998550415039
3,CPP_late_mean,aligned_z5_late_mean,0.8451617956161499
3,CPP_late_mean,aligned_z5_slope,0.4527960495151966
3,CPP_late_mean,aligned_z5_peak,0.45888397097587585
3,CPP_late_mean,aligned_z5_peak_time,0.293840229511261
3,CPP_slope,aligned_z1_late_mean,0.43548629950301926
3,CPP_slope,aligned_z1_slope,0.9225998724010491
3,CPP_slope,aligned_z1_peak,-0.049988992921521355
3,CPP_slope,aligned_z1_peak_time,0.2441884564013646
3,CPP_slope,aligned_z2_late_mean,0.37958358012182836
3,CPP_slope,aligned_z2_slope,0.7859698676970872
3,CPP_slope,aligned_z2_peak,-0.030753941194653633
3,CPP_slope,aligned_z2_peak_time,0.22366386612780464
3,CPP_slope,aligned_z3_late_mean,0.4481622910996215
3,CPP_slope,aligned_z3_slope,0.9338941896148746
3,CPP_slope,aligned_z3_peak,-0.04751163308135957
3,CPP_slope,aligned_z3_peak_time,0.24593564179229183
3,CPP_slope,aligned_z4_late_mean,0.4174409091389564
3,CPP_slope,aligned_z4_slope,0.8899294473696036
3,CPP_slope,aligned_z4_peak,-0.05698181766763346
3,CPP_slope,aligned_z4_peak_time,0.24007413364582408
3,CPP_slope,aligned_z5_late_mean,0.41703323022647676
3,CPP_slope,aligned_z5_slope,0.8616631185822207
3,CPP_slope,aligned_z5_peak,-0.038036995216657654
3,CPP_slope,aligned_z5_peak_time,0.235491375028359
3,CPP_peak,aligned_z1_late_mean,0.5518170595169067
3,CPP_peak,aligned_z1_slope,-0.03599710161686698
3,CPP_peak,aligned_z1_peak,0.8981216549873352
3,CPP_peak,aligned_z1_peak_time,-0.01179383136332035
3,CPP_peak,aligned_z2_late_mean,0.4530923664569855
3,CPP_peak,aligned_z2_slope,-0.020682124090112393
3,CPP_peak,aligned_z2_peak,0.748825192451477
3,CPP_peak,aligned_z2_peak_time,0.0020082052797079086
