seed,cpp_feature,z_feature,subject_level_corr,mean_within_subject_corr
0,CPP_peak,aligned_z4_late_mean,0.7465431690216064,0.5027348718992094
0,CPP_peak,aligned_z4_slope,-0.2343139738962087,-0.010931703224571978
0,CPP_peak,aligned_z4_peak,0.8962306976318359,0.84077130585182
0,CPP_peak,aligned_z4_peak_time,-0.24191434681415558,0.002967181961938012
0,CPP_peak,aligned_z5_late_mean,0.7735680937767029,0.4775561610373055
0,CPP_peak,aligned_z5_slope,-0.30735902945651694,-0.02390187820884072
0,CPP_peak,aligned_z5_peak,0.9475215077400208,0.8499351609043959
0,CPP_peak,aligned_z5_peak_time,-0.1928534358739853,-0.012315332931438007
0,CPP_peak_time,aligned_z1_late_mean,0.18270647525787354,0.27311991300524735
0,CPP_peak_time,aligned_z1_slope,0.4543996199933183,0.23758385997810966
0,CPP_peak_time,aligned_z1_peak,-0.2146511971950531,-0.014646114463486322
0,CPP_peak_time,aligned_z1_peak_time,0.9348843693733215,0.7086882961959373
0,CPP_peak_time,aligned_z2_late_mean,0.0908452570438385,0.3029498824986016
0,CPP_peak_time,aligned_z2_slope,0.5770643389602493,0.2574653832607504
0,CPP_peak_time,aligned_z2_peak,-0.21953634917736053,-0.025972514208860514
0,CPP_peak_time,aligned_z2_peak_time,0.9628468751907349,0.8144933406899615
0,CPP_peak_time,aligned_z3_late_mean,0.08799300342798233,0.2715258368449967
0,CPP_peak_time,aligned_z3_slope,0.5694148443454626,0.24406837413831925
0,CPP_peak_time,aligned_z3_peak,-0.1829928159713745,-0.015467224892501423
0,CPP_peak_time,aligned_z3_peak_time,0.8527317047119141,0.6360761248847333
0,CPP_peak_time,aligned_z4_late_mean,0.09527889639139175,0.2850893503282128
0,CPP_peak_time,aligned_z4_slope,0.5062662345027423,0.2521329887400597
0,CPP_peak_time,aligned_z4_peak,-0.22091177105903625,-0.02646210015092681
0,CPP_peak_time,aligned_z4_peak_time,0.929297685623169,0.6823237712790327
0,CPP_peak_time,aligned_z5_late_mean,0.013508906587958336,0.27396964881478286
0,CPP_peak_time,aligned_z5_slope,0.5077087475096383,0.23176291262036036
0,CPP_peak_time,aligned_z5_peak,-0.23258064687252045,-0.03741195475364604
0,CPP_peak_time,aligned_z5_peak_time,0.8966370224952698,0.6528422461777199
1,CPP_late_mean,aligned_z1_late_mean,0.9624572396278381,0.9080634858550095
1,CPP_late_mean,aligned_z1_slope,-0.074573616165229,0.5019363081873154
1,CPP_late_mean,aligned_z1_peak,0.6292229294776917,0.48763831650338524
1,CPP_late_mean,aligned_z1_peak_time,0.008483055979013443,0.3060874317477389
1,CPP_late_mean,aligned_z2_late_mean,0.9700825810432434,0.9509317729531265
1,CPP_late_mean,aligned_z2_slope,-0.08713643684379224,0.5014962838750017
1,CPP_late_mean,aligned_z2_peak,0.7212194204330444,0.5210111446496917
1,CPP_late_mean,aligned_z2_peak_time,0.15718266367912292,0.31305583802665155
1,CPP_late_mean,aligned_z3_late_mean,0.9685922861099243,0.943471008684577
1,CPP_late_mean,aligned_z3_slope,0.058634564020176125,0.5025154502782554
1,CPP_late_mean,aligned_z3_peak,0.731436014175415,0.5175226359832578
1,CPP_late_mean,aligned_z3_peak_time,0.22182582318782806,0.31381636567232085
1,CPP_late_mean,aligned_z4_late_mean,0.8963611721992493,0.8165293386796626
1,CPP_late_mean,aligned_z4_slope,0.05874464322207281,0.4596047468023068
1,CPP_late_mean,aligned_z4_peak,0.626797080039978,0.41679954038160605
1,CPP_late_mean,aligned_z4_peak_time,0.01662437804043293,0.27813398092985153
1,CPP_late_mean,aligned_z5_late_mean,0.9180876612663269,0.837431285439468
1,CPP_late_mean,aligned_z5_slope,-0.03737126108450975,0.46734515217359424
1,CPP_late_mean,aligned_z5_peak,0.4648338556289673,0.42046328070687083
1,CPP_late_mean,aligned_z5_peak_time,0.2371680587530136,0.2500498198517939
1,CPP_slope,aligned_z1_late_mean,-0.014150620030717657,0.44603759595793263
1,CPP_slope,aligned_z1_slope,0.9505528946460904,0.9104568678177263
1,CPP_slope,aligned_z1_peak,-0.2482053106655419,-0.04506650296871625
1,CPP_slope,aligned_z1_peak_time,0.5699170608863543,0.2439243433436074
1,CPP_slope,aligned_z2_late_mean,-0.11886612153595487,0.486331726750649
1,CPP_slope,aligned_z2_slope,0.9625433938549761,0.9438247432182031
1,CPP_slope,aligned_z2_peak,-0.23352556357621054,-0.036640618167920476
1,CPP_slope,aligned_z2_peak_time,0.5350226645785159,0.23952913109158475
1,CPP_slope,aligned_z3_late_mean,-0.07574221481908663,0.4811307752100332
1,CPP_slope,aligned_z3_slope,0.9775729724832674,0.937750158226544
1,CPP_slope,aligned_z3_peak,-0.2334885801661107,-0.037937134611652636
1,CPP_slope,aligned_z3_peak_time,0.5426963657260516,0.2499895981445406
1,CPP_slope,aligned_z4_late_mean,-0.003973630655270965,0.40518338332116693
1,CPP_slope,aligned_z4_slope,0.8989651290636502,0.8081481726676312
1,CPP_slope,aligned_z4_peak,-0.1464357193441788,-0.03797520932897333
1,CPP_slope,aligned_z4_peak_time,0.5205343317786068,0.20846928668658546
1,CPP_slope,aligned_z5_late_mean,-0.13724677059386173,0.40531723376983597
1,CPP_slope,aligned_z5_slope,0.8369360211188654,0.8295759527974865
1,CPP_slope,aligned_z5_peak,-0.24023145748988867,-0.04715179788246653
1,CPP_slope,aligned_z5_peak_time,0.3942669044519729,0.1805446635789957
1,CPP_peak,aligned_z1_late_mean,0.6663918495178223,0.48964874628113536
1,CPP_peak,aligned_z1_slope,-0.22167319943404834,-0.011944509819883419
1,CPP_peak,aligned_z1_peak,0.8454604744911194,0.8563894193346907
1,CPP_peak,aligned_z1_peak_time,-0.3050997257232666,-0.01352087970505037
1,CPP_peak,aligned_z2_late_mean,0.8313934206962585,0.5203155199202095
1,CPP_peak,aligned_z2_slope,-0.3111060044699106,-0.03512497967658067
1,CPP_peak,aligned_z2_peak,0.9913000464439392,0.9562578521123747
1,CPP_peak,aligned_z2_peak_time,-0.17112216353416443,-0.011420524656409171
1,CPP_peak,aligned_z3_late_mean,0.6000744104385376,0.4681987159135865
1,CPP_peak,aligned_z3_slope,-0.11749881608928217,-0.020922538059433764
1,CPP_peak,aligned_z3_peak,0.9788122773170471,0.9074225534753102
1,CPP_peak,aligned_z3_peak_time,-0.1126333549618721,-0.021962018717625518
1,CPP_peak,aligned_z4_late_mean,0.6338633298873901,0.44034879309375113
1,CPP_peak,aligned_z4_slope,-0.10680826449425289,-0.00906311365685105
1,CPP_peak,aligned_z4_peak,0.8987728357315063,0.6863943778160142
1,CPP_peak,aligned_z4_peak_time,-0.24545800685882568,0.007959687730252015
1,CPP_peak,aligned_z5_late_mean,0.5647071003913879,0.4261536336526638
