seed,model,fold,cv_r2,rmse,mae,n_test_subjects,n_test_trials,delta_r2_vs_cpp_only
1,z-only,2,0.08328006994903969,0.26398114222674157,0.21554562756879747,9,1543,-0.014781183154081945
1,z-only,3,0.08570491959340543,0.28703226680365257,0.22865860215199765,8,1432,-0.01235633350971621
1,z-only,4,0.11635402812804108,0.24435678534170094,0.20097134406090197,8,1453,0.01829277502491944
1,z-only,5,0.07142326842621138,0.2858504234501799,0.23263668918813915,8,1435,-0.026637984676910254
1,z-only,pooled,0.1068074853275447,0.2732573616481878,0.22196905635070863,41,7297,0.008746232224423056
1,CPP + z,1,0.1388307727482101,0.28387908061380157,0.23329725172701254,8,1434,0.04076951964508846
1,CPP + z,2,0.09282865733215773,0.26260272493870157,0.21514341696245878,9,1543,-0.00523259577096391
1,CPP + z,3,0.08797795852715473,0.2866752477496913,0.22865948948409714,8,1432,-0.010083294575966906
1,CPP + z,4,0.11424959882825825,0.24464758380318416,0.20211358644374303,8,1453,0.01618834572513661
1,CPP + z,5,0.04414118873582973,0.2900192435370266,0.23514185748948382,8,1435,-0.05392006436729191
1,CPP + z,pooled,0.10278370826079863,0.2738721737651602,0.2227017331630814,41,7297,0.004722455157676997
1,All-z,1,0.15470236431325457,0.281250929174582,0.23095802921805234,8,1434,0.05664111121013293
1,All-z,2,0.07655535943893266,0.2649476059452903,0.21662488439698882,9,1543,-0.02150589366418898
1,All-z,3,0.1014255512420057,0.2845539128530718,0.22680970804785222,8,1432,0.0033642981388840587
1,All-z,4,0.11341346255739959,0.2447630285524831,0.20169557827111997,8,1453,0.015352209454277954
1,All-z,5,0.07656231015985715,0.2850583320025972,0.2320580789653037,8,1435,-0.021498942943264487
1,All-z,pooled,0.11256729650173869,0.27237487754732315,0.22150260805686084,41,7297,0.014506043398617052
1,Full,1,0.1547771444718582,0.28123848831743414,0.2309845839647371,8,1434,0.05671589136873656
1,Full,2,0.09180751822677435,0.2627504800985802,0.2152935529179942,9,1543,-0.006253734876347283
1,Full,3,0.10353966359683964,0.28421897499665244,0.22644973179302913,8,1432,0.005478410493718
1,Full,4,0.11682363276661167,0.24429184625218373,0.2011575561939437,8,1453,0.018762379663490036
1,Full,5,0.06925349582028995,0.28618419690268676,0.23293601716950166,8,1435,-0.028807757282831692
1,Full,pooled,0.11499956969453373,0.2720013592673656,0.22122118340051403,41,7297,0.016938316591412095
2,baseline,1,0.04844258260989498,0.2984053727260659,0.24799386806876703,8,1434,-0.04961987328778972
2,baseline,2,0.031665278642812655,0.27131094828270325,0.2248654263708849,9,1543,-0.06639717725487204
2,baseline,3,0.05281374151946805,0.29214955136418985,0.23676151782589902,8,1432,-0.04524871437821665
2,baseline,4,0.049403082387079245,0.2534448395829877,0.21293564076677163,8,1453,-0.04865937351060545
2,baseline,5,0.054330455329260285,0.28846932802549397,0.2396034663266513,8,1435,-0.04373200056842441
2,baseline,pooled,0.055373352769649276,0.2810149530282976,0.23226798868582138,41,7297,-0.04268910312803542
2,CPP-only,1,0.12113572131765094,0.2867807824129499,0.23610688519488648,8,1434,0.023073265419966238
2,CPP-only,2,0.08166561745348389,0.2642134910196194,0.21690948748604924,9,1543,-0.016396838444200812
