,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,subj_id
80,1.0,0.28955,1,1,2,1,1,1,1,True,sub-STSWD1117,287832,8,287832.0,sub-STSWD1117
81,1.0,0.27741,1,1,2,1,1,1,1,True,sub-STSWD1117,290264,8,290264.0,sub-STSWD1117
82,1.0,0.31847,1,1,1,1,1,1,1,True,sub-STSWD1117,292696,8,292696.0,sub-STSWD1117
83,1.0,0.31236,1,1,2,1,1,1,1,True,sub-STSWD1117,295127,8,295127.0,sub-STSWD1117
84,1.0,0.35033,1,1,2,1,1,1,1,True,sub-STSWD1117,297560,8,297560.0,sub-STSWD1117
85,0.0,0.62817,3,3,1,1,1,1,1,True,sub-STSWD1117,302039,8,302039.0,sub-STSWD1117
86,1.0,0.54205,2,3,2,1,1,1,1,True,sub-STSWD1117,304471,8,304471.0,sub-STSWD1117
87,1.0,0.73804,3,3,2,1,1,1,1,True,sub-STSWD1117,306903,8,306903.0,sub-STSWD1117
88,0.0,0.69297,3,3,1,1,1,1,1,True,sub-STSWD1117,309335,8,309335.0,sub-STSWD1117
89,1.0,0.62683,3,3,2,1,1,1,1,True,sub-STSWD1117,311767,8,311767.0,sub-STSWD1117
90,0.0,0.78684,4,3,1,1,1,1,1,True,sub-STSWD1117,314199,8,314199.0,sub-STSWD1117
91,1.0,0.64678,2,3,2,1,1,1,1,True,sub-STSWD1117,316631,8,316631.0,sub-STSWD1117
92,0.0,0.93165,4,3,1,1,1,1,1,True,sub-STSWD1117,319063,8,319063.0,sub-STSWD1117
93,1.0,1.1336,1,2,1,1,1,1,1,True,sub-STSWD1117,323543,8,323543.0,sub-STSWD1117
94,1.0,0.65753,4,2,1,1,1,1,1,True,sub-STSWD1117,325975,8,325975.0,sub-STSWD1117
95,1.0,1.0454,4,2,1,1,1,1,1,True,sub-STSWD1117,328407,8,328407.0,sub-STSWD1117
96,1.0,0.8284,4,2,2,1,1,1,1,True,sub-STSWD1117,330839,8,330839.0,sub-STSWD1117
97,1.0,0.67833,1,2,2,1,1,1,1,True,sub-STSWD1117,333271,8,333271.0,sub-STSWD1117
98,1.0,0.30028,1,2,2,1,1,1,1,True,sub-STSWD1117,335703,8,335703.0,sub-STSWD1117
99,1.0,0.90543,4,2,1,1,1,1,1,True,sub-STSWD1117,338135,8,338135.0,sub-STSWD1117
100,1.0,0.67715,1,2,1,1,1,1,1,True,sub-STSWD1117,340567,8,340567.0,sub-STSWD1117
101,1.0,0.70903,2,3,2,1,1,1,1,True,sub-STSWD1117,345047,8,345047.0,sub-STSWD1117
102,1.0,0.46897,2,3,2,1,1,1,1,True,sub-STSWD1117,347479,8,347479.0,sub-STSWD1117
103,1.0,0.6919,3,3,2,1,1,1,1,True,sub-STSWD1117,349911,8,349911.0,sub-STSWD1117
104,0.0,0.75783,1,3,2,1,1,1,1,True,sub-STSWD1117,352343,8,352343.0,sub-STSWD1117
105,1.0,0.87077,1,3,2,1,1,1,1,True,sub-STSWD1117,354775,8,354775.0,sub-STSWD1117
106,1.0,0.6457,2,3,2,1,1,1,1,True,sub-STSWD1117,357207,8,357207.0,sub-STSWD1117
107,1.0,0.67863,2,3,1,1,1,1,1,True,sub-STSWD1117,359639,8,359639.0,sub-STSWD1117
108,1.0,0.58258,2,3,1,1,1,1,1,True,sub-STSWD1117,362071,8,362071.0,sub-STSWD1117
109,1.0,0.65845,1,4,1,1,1,1,1,True,sub-STSWD1117,366551,8,366551.0,sub-STSWD1117
110,1.0,0.60239,1,4,2,1,1,1,1,True,sub-STSWD1117,368983,8,368983.0,sub-STSWD1117
111,0.0,0.66533,3,4,1,1,1,1,1,True,sub-STSWD1117,371415,8,371415.0,sub-STSWD1117
112,1.0,0.79626,3,4,2,1,1,1,1,True,sub-STSWD1117,373847,8,373847.0,sub-STSWD1117
113,1.0,1.1142,4,4,1,1,1,1,1,True,sub-STSWD1117,376279,8,376279.0,sub-STSWD1117
114,1.0,0.69606,4,4,2,1,1,1,1,True,sub-STSWD1117,378711,8,378711.0,sub-STSWD1117
115,0.0,0.77106,4,4,1,1,1,1,1,True,sub-STSWD1117,381143,8,381143.0,sub-STSWD1117
116,1.0,0.49401,2,4,1,1,1,1,1,True,sub-STSWD1117,383574,8,383574.0,sub-STSWD1117
117,1.0,0.26483,1,1,1,1,1,1,1,True,sub-STSWD1117,388054,8,388054.0,sub-STSWD1117
118,1.0,0.44781,1,1,1,1,1,1,1,True,sub-STSWD1117,390486,8,390486.0,sub-STSWD1117
119,1.0,0.30176,1,1,2,1,1,1,1,True,sub-STSWD1117,392918,8,392918.0,sub-STSWD1117
120,1.0,0.30664,1,1,1,1,1,1,1,True,sub-STSWD1117,395350,8,395350.0,sub-STSWD1117
121,1.0,0.34562,1,1,1,1,1,1,1,True,sub-STSWD1117,397782,8,397782.0,sub-STSWD1117
122,1.0,0.35659,1,1,2,1,1,1,1,True,sub-STSWD1117,400214,8,400214.0,sub-STSWD1117
123,1.0,0.28044,1,1,2,1,1,1,1,True,sub-STSWD1117,402646,8,402646.0,sub-STSWD1117
124,1.0,0.53243,1,1,1,1,1,1,1,True,sub-STSWD1117,405078,8,405078.0,sub-STSWD1117
125,1.0,0.88075,1,4,1,1,1,1,1,True,sub-STSWD1117,443175,8,443175.0,sub-STSWD1117
126,1.0,0.75469,2,4,1,1,1,1,1,True,sub-STSWD1117,445607,8,445607.0,sub-STSWD1117
127,0.0,0.95765,3,4,1,1,1,1,1,True,sub-STSWD1117,448039,8,448039.0,sub-STSWD1117
128,0.0,0.77749,3,4,1,1,1,1,1,True,sub-STSWD1117,450471,8,450471.0,sub-STSWD1117
129,1.0,0.52649,1,4,2,1,1,1,1,True,sub-STSWD1117,452903,8,452903.0,sub-STSWD1117
130,1.0,0.65743,2,4,2,1,1,1,1,True,sub-STSWD1117,455335,8,455335.0,sub-STSWD1117
131,1.0,0.89928,4,4,2,1,1,1,1,True,sub-STSWD1117,457766,8,457766.0,sub-STSWD1117
132,1.0,0.64429,4,4,2,1,1,1,1,True,sub-STSWD1117,460198,8,460198.0,sub-STSWD1117
133,1.0,0.26518,3,1,1,1,1,1,1,True,sub-STSWD1117,464678,8,464678.0,sub-STSWD1117
134,1.0,0.27312,3,1,2,1,1,1,1,True,sub-STSWD1117,467110,8,467110.0,sub-STSWD1117
135,1.0,0.30006,3,1,1,1,1,1,1,True,sub-STSWD1117,469542,8,469542.0,sub-STSWD1117
136,1.0,0.27999,3,1,2,1,1,1,1,True,sub-STSWD1117,471974,8,471974.0,sub-STSWD1117
137,1.0,0.38901,3,1,1,1,1,1,1,True,sub-STSWD1117,474406,8,474406.0,sub-STSWD1117
138,1.0,0.33387,3,1,1,1,1,1,1,True,sub-STSWD1117,476838,8,476838.0,sub-STSWD1117
139,1.0,0.3658,3,1,1,1,1,1,1,True,sub-STSWD1117,479270,8,479270.0,sub-STSWD1117
140,1.0,0.3827,3,1,2,1,1,1,1,True,sub-STSWD1117,481702,8,481702.0,sub-STSWD1117
141,1.0,0.7166,2,2,1,1,1,1,1,True,sub-STSWD1117,486182,8,486182.0,sub-STSWD1117
142,0.0,0.65554,4,2,1,1,1,1,1,True,sub-STSWD1117,488614,8,488614.0,sub-STSWD1117
143,0.0,0.51848,4,2,1,1,1,1,1,True,sub-STSWD1117,491046,8,491046.0,sub-STSWD1117
144,0.0,0.58042,4,2,1,1,1,1,1,True,sub-STSWD1117,493478,8,493478.0,sub-STSWD1117
145,1.0,0.86935,2,2,1,1,1,1,1,True,sub-STSWD1117,495910,8,495910.0,sub-STSWD1117
146,1.0,0.2693,2,2,2,1,1,1,1,True,sub-STSWD1117,498342,8,498342.0,sub-STSWD1117
147,1.0,0.27423,4,2,2,1,1,1,1,True,sub-STSWD1117,500774,8,500774.0,sub-STSWD1117
148,1.0,0.2862,2,2,2,1,1,1,1,True,sub-STSWD1117,503206,8,503206.0,sub-STSWD1117
149,1.0,0.63108,4,3,2,1,1,1,1,True,sub-STSWD1117,507686,8,507686.0,sub-STSWD1117
150,0.0,0.64297,4,3,1,1,1,1,1,True,sub-STSWD1117,510118,8,510118.0,sub-STSWD1117
151,1.0,1.1589,1,3,1,1,1,1,1,True,sub-STSWD1117,512550,8,512550.0,sub-STSWD1117
152,1.0,0.65984,1,3,2,1,1,1,1,True,sub-STSWD1117,514982,8,514982.0,sub-STSWD1117
153,1.0,0.58669,1,3,1,1,1,1,1,True,sub-STSWD1117,517414,8,517414.0,sub-STSWD1117
154,1.0,0.72072,2,3,1,1,1,1,1,True,sub-STSWD1117,519846,8,519846.0,sub-STSWD1117
155,1.0,0.93865,4,3,1,1,1,1,1,True,sub-STSWD1117,522278,8,522278.0,sub-STSWD1117
156,1.0,0.62558,2,3,1,1,1,1,1,True,sub-STSWD1117,524710,8,524710.0,sub-STSWD1117
157,1.0,0.26447,4,1,2,1,1,1,1,True,sub-STSWD1117,529190,8,529190.0,sub-STSWD1117
158,0.0,0.35041,4,1,1,1,1,1,1,True,sub-STSWD1117,531622,8,531622.0,sub-STSWD1117
159,1.0,0.37628,4,1,1,1,1,1,1,True,sub-STSWD1117,534054,8,534054.0,sub-STSWD1117
160,0.0,0.30622,4,1,1,1,1,1,1,True,sub-STSWD1117,538918,8,538918.0,sub-STSWD1117
161,1.0,0.29811,4,1,2,1,1,1,1,True,sub-STSWD1117,541350,8,541350.0,sub-STSWD1117
162,1.0,0.30308,4,1,2,1,1,1,1,True,sub-STSWD1117,543782,8,543782.0,sub-STSWD1117
163,1.0,0.31404,4,1,2,1,1,1,1,True,sub-STSWD1117,546214,8,546214.0,sub-STSWD1117
164,1.0,0.86882,3,3,2,1,1,1,1,True,sub-STSWD1117,550694,8,550694.0,sub-STSWD1117
165,0.0,0.58479,3,3,1,1,1,1,1,True,sub-STSWD1117,553126,8,553126.0,sub-STSWD1117
166,1.0,0.69973,2,3,1,1,1,1,1,True,sub-STSWD1117,555558,8,555558.0,sub-STSWD1117
167,1.0,0.67968,1,3,1,1,1,1,1,True,sub-STSWD1117,557990,8,557990.0,sub-STSWD1117
168,1.0,0.66958,2,3,2,1,1,1,1,True,sub-STSWD1117,560422,8,560422.0,sub-STSWD1117
169,1.0,0.72261,2,3,1,1,1,1,1,True,sub-STSWD1117,562854,8,562854.0,sub-STSWD1117
170,1.0,0.56272,3,3,1,1,1,1,1,True,sub-STSWD1117,565286,8,565286.0,sub-STSWD1117
171,1.0,0.62749,1,3,2,1,1,1,1,True,sub-STSWD1117,567718,8,567718.0,sub-STSWD1117
172,0.0,0.95027,1,2,1,1,1,1,1,True,sub-STSWD1117,572198,8,572198.0,sub-STSWD1117
173,1.0,0.70627,3,2,1,1,1,1,1,True,sub-STSWD1117,574630,8,574630.0,sub-STSWD1117
174,1.0,0.87323,3,2,1,1,1,1,1,True,sub-STSWD1117,577062,8,577062.0,sub-STSWD1117
175,1.0,0.48201,3,2,1,1,1,1,1,True,sub-STSWD1117,579494,8,579494.0,sub-STSWD1117
176,1.0,0.7011,1,2,2,1,1,1,1,True,sub-STSWD1117,581926,8,581926.0,sub-STSWD1117
177,1.0,0.25106,3,2,2,1,1,1,1,True,sub-STSWD1117,584358,8,584358.0,sub-STSWD1117
178,0.0,0.51689,1,2,1,1,1,1,1,True,sub-STSWD1117,586789,8,586789.0,sub-STSWD1117
179,1.0,0.61592,1,2,2,1,1,1,1,True,sub-STSWD1117,589221,8,589221.0,sub-STSWD1117
180,1.0,0.56679,2,4,2,1,1,1,1,True,sub-STSWD1117,593702,8,593702.0,sub-STSWD1117
181,1.0,0.6937,2,4,2,1,1,1,1,True,sub-STSWD1117,596134,8,596134.0,sub-STSWD1117
182,1.0,0.92765,1,4,1,1,1,1,1,True,sub-STSWD1117,598566,8,598566.0,sub-STSWD1117
183,1.0,0.6676,1,4,1,1,1,1,1,True,sub-STSWD1117,600997,8,600997.0,sub-STSWD1117
184,1.0,0.62552,3,4,2,1,1,1,1,True,sub-STSWD1117,603429,8,603429.0,sub-STSWD1117
185,1.0,0.93747,3,4,1,1,1,1,1,True,sub-STSWD1117,605861,8,605861.0,sub-STSWD1117
186,1.0,0.5774,4,4,1,1,1,1,1,True,sub-STSWD1117,608293,8,608293.0,sub-STSWD1117
187,0.0,1.0803,4,4,1,1,1,1,1,True,sub-STSWD1117,610725,8,610725.0,sub-STSWD1117
188,1.0,0.27109,2,1,1,1,1,1,1,True,sub-STSWD1117,643937,8,643937.0,sub-STSWD1117
189,1.0,0.28603,2,1,1,1,1,1,1,True,sub-STSWD1117,646369,8,646369.0,sub-STSWD1117
190,1.0,0.30497,2,1,1,1,1,1,1,True,sub-STSWD1117,648801,8,648801.0,sub-STSWD1117
191,1.0,0.26991,2,1,2,1,1,1,1,True,sub-STSWD1117,651233,8,651233.0,sub-STSWD1117
