time_ms,latent,correlation_with_log_rt,model_version
-100.9771957397461,z1,0.100597312906222,no_prior
-97.0684051513672,z1,0.1029612192464706,no_prior
-93.15960693359376,z1,0.1046163493527847,no_prior
-89.25081634521484,z1,0.1050796632482972,no_prior
-85.3420181274414,z1,0.1042922958609021,no_prior
-81.4332275390625,z1,0.10259674313589,no_prior
-77.52442932128906,z1,0.1002288180881801,no_prior
-73.61563873291016,z1,0.0974880631799307,no_prior
-69.70684051513672,z1,0.0953149929156578,no_prior
-65.79804229736328,z1,0.0944900880511874,no_prior
-61.889251708984375,z1,0.0952091401769925,no_prior
-57.9804573059082,z1,0.0967296671338395,no_prior
-54.07166290283203,z1,0.0980138528043501,no_prior
-50.162864685058594,z1,0.0986331675657012,no_prior
-46.25407028198242,z1,0.0988996254331204,no_prior
-42.34527587890625,z1,0.0987594051679209,no_prior
-38.43648147583008,z1,0.0978615633068056,no_prior
-34.527687072753906,z1,0.0962681960065182,no_prior
-30.618892669677734,z1,0.0938544222523486,no_prior
-26.71009826660156,z1,0.0909081638741124,no_prior
-22.80130386352539,z1,0.0883684610823645,no_prior
-18.892507553100582,z1,0.0870984386285412,no_prior
-14.983713150024414,z1,0.0874402684905743,no_prior
-11.074918746948242,z1,0.0895080889906242,no_prior
-7.166123867034912,z1,0.0926724129022821,no_prior
-3.257328987121582,z1,0.0956480942954187,no_prior
0.6514657735824585,z1,0.0974834751380007,no_prior
4.560260772705078,z1,0.0978182504159759,no_prior
8.46905517578125,z1,0.0970809340106795,no_prior
12.377850532531738,z1,0.0964021153697131,no_prior
16.286645889282227,z1,0.0966435050131078,no_prior
20.1954402923584,z1,0.0982481037520043,no_prior
24.10423469543457,z1,0.1009620539793739,no_prior
28.013029098510746,z1,0.1042277706469683,no_prior
31.92182350158691,z1,0.107131126670772,no_prior
35.83061981201172,z1,0.10847656240543,no_prior
39.73941421508789,z1,0.1075178395237938,no_prior
43.64820861816406,z1,0.1043094799510187,no_prior
47.557003021240234,z1,0.0996787905239791,no_prior
51.465797424316406,z1,0.0948210887336819,no_prior
55.37459182739258,z1,0.0911172224933562,no_prior
59.28338623046875,z1,0.0895285757104035,no_prior
63.19218063354492,z1,0.0900050042140457,no_prior
67.1009750366211,z1,0.0915531514264553,no_prior
71.00977325439453,z1,0.0924937418477137,no_prior
74.91856384277344,z1,0.0916060825953245,no_prior
78.82736206054688,z1,0.0889972224703492,no_prior
82.73615264892578,z1,0.0857744622318125,no_prior
86.64495086669922,z1,0.0830485954451085,no_prior
90.55374908447266,z1,0.0812094044802829,no_prior
94.46253967285156,z1,0.0801330823557279,no_prior
98.371337890625,z1,0.0791113846997429,no_prior
102.2801284790039,z1,0.0771403794565984,no_prior
106.18892669677734,z1,0.0738580260217012,no_prior
110.09771728515624,z1,0.0694789081078221,no_prior
114.00651550292967,z1,0.0651007149142845,no_prior
117.9153060913086,z1,0.0621794992556138,no_prior
121.82410430908205,z1,0.0612770342986329,no_prior
125.73290252685548,z1,0.0615927969127295,no_prior
129.64169311523438,z1,0.0619924707321958,no_prior
133.5504913330078,z1,0.0619433779715628,no_prior
137.45928955078125,z1,0.0614711225396565,no_prior
141.36807250976562,z1,0.0606502018679817,no_prior
145.27687072753906,z1,0.0594385677951396,no_prior
149.1856689453125,z1,0.0580467271696555,no_prior
153.09446716308594,z1,0.056943322588215,no_prior
157.0032501220703,z1,0.0561805988219097,no_prior
160.91204833984375,z1,0.055351064113465,no_prior
164.8208465576172,z1,0.0540640148258599,no_prior
168.72964477539062,z1,0.0523403050890644,no_prior
172.63844299316406,z1,0.0504054477129944,no_prior
176.54722595214844,z1,0.0486742738283953,no_prior
180.45602416992188,z1,0.0476553446701867,no_prior
184.3648223876953,z1,0.0474861168957485,no_prior
188.27362060546875,z1,0.0479256719482247,no_prior
192.18240356445312,z1,0.0484771372666391,no_prior
196.09120178222656,z1,0.0487055523042052,no_prior
200.0,z1,0.0480539918947441,no_prior
-1000.0,z2,-0.0111776816920269,no_prior
-996.0911865234376,z2,-0.012684008541697,no_prior
-992.1824340820312,z2,-0.0139036909103267,no_prior
-988.2736206054688,z2,-0.0151922425328308,no_prior
-984.3648071289062,z2,-0.0163743888668052,no_prior
-980.4560546875,z2,-0.0172670155323583,no_prior
-976.5472412109376,z2,-0.0178007097204782,no_prior
-972.638427734375,z2,-0.0179663901021487,no_prior
-968.7296142578124,z2,-0.0180184953748038,no_prior
-964.8208618164062,z2,-0.0183414969111121,no_prior
-960.9120483398438,z2,-0.0191963417665538,no_prior
-957.0032348632812,z2,-0.0205656342589391,no_prior
-953.094482421875,z2,-0.0222326159212653,no_prior
-949.1856689453124,z2,-0.0241106361273413,no_prior
-945.27685546875,z2,-0.0262789841309689,no_prior
-941.3681030273438,z2,-0.0287275052415111,no_prior
-937.4592895507812,z2,-0.0315406219225817,no_prior
-933.5504760742188,z2,-0.0348793775460449,no_prior
-929.6417236328124,z2,-0.0385790727374042,no_prior
-925.73291015625,z2,-0.0420341669117477,no_prior
-921.8240966796876,z2,-0.0445874456188339,no_prior
-917.915283203125,z2,-0.0457996670501414,no_prior
-914.0065307617188,z2,-0.0455139372977206,no_prior
-910.0977172851562,z2,-0.0440204812924539,no_prior
-906.1889038085938,z2,-0.0419207608141699,no_prior
-902.2801513671876,z2,-0.0397388229365422,no_prior
-898.371337890625,z2,-0.0378188778259001,no_prior
-894.4625244140625,z2,-0.0364920366600273,no_prior
-890.5537719726562,z2,-0.0359550444470584,no_prior
-886.6449584960938,z2,-0.0363946026614124,no_prior
-882.7361450195312,z2,-0.0379368074010311,no_prior
-878.8273315429688,z2,-0.0402224946689656,no_prior
-874.9185791015625,z2,-0.0426998612964615,no_prior
-871.009765625,z2,-0.0449406504429488,no_prior
-867.1009521484375,z2,-0.0465879965722367,no_prior
-863.1921997070312,z2,-0.0475361091194494,no_prior
-859.2833862304688,z2,-0.0481225486102928,no_prior
-855.3745727539062,z2,-0.0490337656297038,no_prior
-851.4658203125,z2,-0.0507808902439424,no_prior
-847.5570068359375,z2,-0.0536959476534854,no_prior
-843.648193359375,z2,-0.0579127089732344,no_prior
-839.7394409179688,z2,-0.0631244719200037,no_prior
-835.8306274414062,z2,-0.0685186622536731,no_prior
-831.9218139648438,z2,-0.0733029646252708,no_prior
-828.0130004882812,z2,-0.0769070276177183,no_prior
-824.104248046875,z2,-0.0793113793937259,no_prior
-820.1954345703125,z2,-0.0806966021357696,no_prior
-816.28662109375,z2,-0.0813739071870015,no_prior
-812.3778686523438,z2,-0.0817619283150323,no_prior
-808.4690551757812,z2,-0.082215273411523,no_prior
-804.5602416992188,z2,-0.0825713798367096,no_prior
-800.6514892578125,z2,-0.0823470573397117,no_prior
-796.74267578125,z2,-0.0812757467432795,no_prior
-792.8338623046875,z2,-0.079422005289042,no_prior
-788.9251098632812,z2,-0.0771882348786546,no_prior
-785.0162963867188,z2,-0.075117230545891,no_prior
-781.1074829101562,z2,-0.0734941036308155,no_prior
-777.1986694335938,z2,-0.0726686440559931,no_prior
-773.2899169921875,z2,-0.0731270247762958,no_prior
-769.381103515625,z2,-0.0748962473716538,no_prior
-765.4722900390625,z2,-0.0776037088810914,no_prior
-761.5635375976562,z2,-0.0809329025165468,no_prior
-757.6547241210938,z2,-0.0843952591003046,no_prior
-753.7459106445312,z2,-0.0877168082277914,no_prior
-749.837158203125,z2,-0.0912375300663621,no_prior
-745.9283447265625,z2,-0.0953099852291591,no_prior
-742.01953125,z2,-0.1001513588187424,no_prior
-738.1107788085938,z2,-0.105678271137619,no_prior
