probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1.0,0.60799,4,2,2,1,1,1,1,True,sub-STSWD1117,271192,8,271192.0,0.4302105511641076,1.0739462346435904,1.1236435875181905,3rd,4th,4th,0.29581311266912874,1.2321201508000914,1.1996708374367313
1.0,0.43493,4,2,2,1,1,1,1,True,sub-STSWD1117,273624,8,273624.0,0.44311076134740945,0.10467779185517774,-0.4098258071377071,3rd,3rd,2nd,0.29581311266912874,0.2310303470787792,-0.30266708760987315
1.0,0.70986,4,2,2,1,1,1,1,True,sub-STSWD1117,276056,8,276056.0,0.04089690417372303,0.08889177146633986,0.5809787910415134,3rd,3rd,3rd,0.29581311266912874,0.2310303470787792,0.4135440755669983
0.0,0.31075,1,1,1,1,1,1,1,True,sub-STSWD1117,280536,8,280536.0,-0.9098867412429956,-2.056712292098428,0.00812837180199714,1st,1st,2nd,-1.1896506904453836,-1.144855065854786,-0.30266708760987315
1.0,0.4147,1,1,2,1,1,1,1,True,sub-STSWD1117,282968,8,282968.0,-1.0087361239878234,-0.35346407960370757,-0.3898231540118864,1st,2nd,2nd,-1.1896506904453836,-0.31970293339417105,-0.30266708760987315
1.0,0.50663,1,1,1,1,1,1,1,True,sub-STSWD1117,285400,8,285400.0,-1.7520392186983889,-0.22444896551253288,0.2446275012560978,1st,2nd,3rd,-1.1896506904453836,-0.31970293339417105,0.4135440755669983
1.0,0.28955,1,1,2,1,1,1,1,True,sub-STSWD1117,287832,8,287832.0,-0.9884354207244808,-0.35044291664848104,0.3991543170759165,1st,2nd,3rd,-1.1896506904453836,-0.31970293339417105,0.4135440755669983
1.0,0.27741,1,1,2,1,1,1,1,True,sub-STSWD1117,290264,8,290264.0,0.059693210258365104,-0.3640215033336003,-0.7044051000541395,3rd,2nd,1st,0.29581311266912874,-0.31970293339417105,-1.2900705156220775
1.0,0.31847,1,1,1,1,1,1,1,True,sub-STSWD1117,292696,8,292696.0,-0.8410684820902445,-1.2937307114573007,-0.2217446902505319,1st,1st,2nd,-1.1896506904453836,-1.144855065854786,-0.30266708760987315
1.0,0.31236,1,1,2,1,1,1,1,True,sub-STSWD1117,295127,8,295127.0,1.2012475705830803,-0.9424027428916506,0.17958989093761635,4th,1st,3rd,1.2102077521995167,-1.144855065854786,0.4135440755669983
1.0,0.35033,1,1,2,1,1,1,1,True,sub-STSWD1117,297560,8,297560.0,0.8352114409964602,1.0188614032980006,-1.616518177868662,4th,4th,1st,1.2102077521995167,1.2321201508000914,-1.2900705156220775
