probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,stim_onset,stim_code,is_valid_trial,is_missing_response,is_rt_outlier,resp_onset_sample,response_sample,response_sample_source,trial_index,subject_id,cpp_channels,sampling_frequency,pre_response_slope,late_amplitude,post_response_amplitude,post_response_drop,pre_response_monotonicity,epoch_n_times,tensor_row_index,pre_response_slope_z,late_amplitude_z,post_response_drop_z,pre_response_monotonicity_z,cpp_score,morphology_gate,cpp_label,cpp_threshold,task_proxy_label
1.0,0.94196,4,4,2,1,1,1,1,sub-STSWD1117,110639,8,True,False,False,110639.0,110880,stim_onset_plus_probe_rt,25,sub-1117,"CP1,CPz,CP2,Pz",256.0,-3.436812016604417e-05,-3.2857379e-06,-2.0954215e-06,-1.1903164e-06,-0.6082050819982896,206,25,-1.0872151976455158,-1.0588444,-0.50429106,-1.5861674557559953,-0.9838384086417452,0,0,0.004399449557834897,1
1.0,0.62813,1,4,2,1,1,1,1,sub-STSWD1117,113071,8,True,False,False,113071.0,113232,stim_onset_plus_probe_rt,26,sub-1117,"CP1,CPz,CP2,Pz",256.0,9.201187939420307e-06,9.298744e-06,7.350148e-06,1.948596e-06,0.5772526351895515,206,26,0.3427051146406918,2.049934,0.7583236,1.4174052660157357,1.1027615050992519,1,1,0.004399449557834897,1
1.0,1.0548,1,4,1,1,1,1,1,sub-STSWD1117,115503,8,True,False,False,115503.0,115773,stim_onset_plus_probe_rt,27,sub-1117,"CP1,CPz,CP2,Pz",256.0,1.1909948860465727e-05,-6.3829507e-06,-7.1887166e-06,8.057659e-07,-0.2962876605880715,206,27,0.43160513234935377,-1.8239573,0.29862487,-0.7958679412228606,-0.4261889397510788,0,0,0.004399449557834897,1
0.0,0.51561,1,3,1,1,1,1,1,sub-STSWD1117,119983,8,True,False,False,119983.0,120115,stim_onset_plus_probe_rt,28,sub-1117,"CP1,CPz,CP2,Pz",256.0,2.1620155528926766e-05,1.9366311e-07,2.717206e-06,-2.523543e-06,0.7273936328336874,206,28,0.7502886817442543,-0.1993187,-1.0405759,1.7978147891940843,0.11694328783461742,0,0,0.004399449557834897,1
1.0,1.2296,2,3,1,1,1,1,1,sub-STSWD1117,122415,8,True,False,False,122415.0,122730,stim_onset_plus_probe_rt,29,sub-1117,"CP1,CPz,CP2,Pz",256.0,-4.032223888327412e-05,-4.0400607e-07,1.3692443e-06,-1.7732503e-06,-0.3625393303020387,206,29,-1.2826260422456115,-0.34696254,-0.7387739,-0.9637285954153637,-0.8143505039097553,0,0,0.004399449557834897,1
1.0,0.83454,1,3,2,1,1,1,1,sub-STSWD1117,124847,8,True,False,False,124847.0,125061,stim_onset_plus_probe_rt,30,sub-1117,"CP1,CPz,CP2,Pz",256.0,-4.33165712548002e-05,1.3629106e-06,6.834564e-09,1.356076e-06,0.07622891586748198,206,30,-1.380898355164078,0.089523636,0.51998484,0.14797055358564054,-0.19925845749138968,0,0,0.004399449557834897,1
1.0,0.82348,1,3,1,1,1,1,1,sub-STSWD1117,127279,8,True,False,False,127279.0,127490,stim_onset_plus_probe_rt,31,sub-1117,"CP1,CPz,CP2,Pz",256.0,1.7831643906732793e-05,3.7518413e-07,-6.4360853e-07,1.0187927e-06,-0.21630521518844764,206,31,0.6259518502115061,-0.15447709,0.384314,-0.5932178696599615,0.1597656646698811,1,1,0.004399449557834897,1
1.0,0.70839,1,3,1,1,1,1,1,sub-STSWD1117,129711,8,True,False,False,129711.0,129892,stim_onset_plus_probe_rt,32,sub-1117,"CP1,CPz,CP2,Pz",256.0,-5.146605622490906e-06,-2.2182383e-06,-4.526228e-06,2.30799e-06,-0.0575490907401608,206,32,-0.12818144157921232,-0.79513717,0.90288836,-0.19098035591866303,-0.03312012253604565,0,0,0.004399449557834897,1
1.0,0.79539,1,3,2,1,1,1,1,sub-STSWD1117,132143,8,True,False,False,132143.0,132347,stim_onset_plus_probe_rt,33,sub-1117,"CP1,CPz,CP2,Pz",256.0,3.0497845727950355e-05,9.0522735e-06,5.86373e-06,3.1885434e-06,0.713077813297579,206,33,1.041649506456912,1.9890475,1.2570873,1.7615430568285775,1.47673026059317,1,1,0.004399449557834897,1
1.0,1.2483,2,3,1,1,1,1,1,sub-STSWD1117,134575,8,True,False,False,134575.0,134895,stim_onset_plus_probe_rt,34,sub-1117,"CP1,CPz,CP2,Pz",256.0,-4.3738142822372805e-05,-4.0805317e-06,-5.8618957e-07,-3.494342e-06,-0.3121666035504576,206,34,-1.3947340981163234,-1.2551845,-1.4310759,-0.8361001310689324,-1.2854413215594402,0,0,0.004399449557834897,1
1.0,0.63018,4,3,2,1,1,1,1,sub-STSWD1117,137007,8,True,False,False,137007.0,137168,stim_onset_plus_probe_rt,35,sub-1117,"CP1,CPz,CP2,Pz",256.0,-1.812164879334252e-05,5.2137766e-06,3.2846328e-06,1.9291438e-06,0.303107742132451,206,35,-0.5540150981036824,1.0408134,0.750499,0.722809321630094,0.4567720053835274,0,0,0.004399449557834897,1
0.0,0.89816,4,4,1,1,1,1,1,sub-STSWD1117,141487,8,True,False,False,141487.0,141717,stim_onset_plus_probe_rt,36,sub-1117,"CP1,CPz,CP2,Pz",256.0,-2.2980836119636154e-05,-2.954757e-06,-1.009279e-06,-1.945478e-06,-0.3641928580409379,206,36,-0.7134909071353966,-0.97708136,-0.8080517,-0.9679181086634886,-0.8521665786458067,0,0,0.004399449557834897,1
1.0,0.95604,4,4,2,1,1,1,1,sub-STSWD1117,143919,8,True,False,False,143919.0,144164,stim_onset_plus_probe_rt,37,sub-1117,"CP1,CPz,CP2,Pz",256.0,1.488071358783887e-06,-7.1026363e-07,-1.8812991e-06,1.1710355e-06,-0.40268828691783054,206,37,0.08956494443219867,-0.42261815,0.44555306,-1.0654532787594941,-0.12006479466065557,0,0,0.004399449557834897,1
1.0,0.47802,1,4,2,1,1,1,1,sub-STSWD1117,146351,8,True,False,False,146351.0,146473,stim_onset_plus_probe_rt,38,sub-1117,"CP1,CPz,CP2,Pz",256.0,-3.601202338966701e-05,4.04394e-07,-6.789294e-07,1.0833234e-06,0.014591821178430463,206,38,-1.1411671815788174,-0.14726129,0.4102712,-0.008198235543732904,-0.2520732552958741,0,0,0.004399449557834897,1
1.0,0.95596,3,4,2,1,1,1,1,sub-STSWD1117,148783,8,True,False,False,148783.0,149028,stim_onset_plus_probe_rt,39,sub-1117,"CP1,CPz,CP2,Pz",256.0,2.09836766863386e-05,-3.3353194e-06,-2.515978e-06,-8.193415e-07,-0.17916826306760625,206,39,0.7293998022799718,-1.0710927,-0.35506794,-0.4991246474870888,-0.2703780528085401,0,0,0.004399449557834897,1
0.0,0.6458,3,4,1,1,1,1,1,sub-STSWD1117,151215,8,True,False,False,151215.0,151380,stim_onset_plus_probe_rt,40,sub-1117,"CP1,CPz,CP2,Pz",256.0,-2.5661683241697218e-05,-4.9530727e-06,-5.3746675e-07,-4.415606e-06,-0.5573616476658179,206,40,-0.8014748095808971,-1.4707307,-1.8016506,-1.4573463681473457,-1.3721512283854713,0,0,0.004399449557834897,1
