latent_trial_index,cpp_late_amplitude,cpp_pre_response_slope,cpp_pre_response_auc
115,-2.491752638889011e-06,5.3594381949252e-09,-0.0010108633860097267
116,-3.1951415166986408e-06,-1.0312510197513542e-08,-0.00019252814193271176
117,4.752666882268386e-06,3.178370616074157e-09,0.001938694841394294
118,-1.5801095969436574e-06,9.297741290998404e-09,-0.00112425759779622
119,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
120,-3.4275192319910275e-06,-9.549977924752598e-09,0.0007947305636086644
121,1.738565856612695e-06,-7.429872941811109e-10,0.0003319014459743957
122,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
123,-9.857719760475447e-07,5.75688883752615e-09,-0.001890970781241758
124,1.0235658010060433e-06,5.184037882130653e-09,-0.00047236879030516
125,1.9623969365056837e-06,1.0926466152957594e-08,0.001526683532058134
126,-5.573584758167272e-07,2.6185177113617487e-09,-0.00038852568367601513
127,-4.520979018707294e-06,-2.0994646240100485e-08,-0.0008772189447341216
128,-1.993346813833341e-06,1.9526743851927144e-08,-0.0010971955356499806
129,6.626117396990594e-07,9.343489583087392e-11,0.0004045431405510691
130,1.8432565411785617e-06,8.792128881671507e-09,-0.0006879343983968675
131,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
132,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
133,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
134,-2.0349705209810054e-06,2.9518043966801965e-09,-0.0012710663356704358
135,1.5302260862881667e-06,7.565844343229931e-09,0.0001842047270799351
136,-1.3446770026348531e-06,-4.569544386260403e-09,-0.001578735555526659
137,6.816509994678199e-06,2.8621531034851342e-08,2.449517066837638e-05
138,-9.592131391400471e-07,-3.9502508874502105e-09,-0.002477805379720528
139,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
140,-6.050715342098556e-07,-1.5625896067162795e-08,0.0007173670103313625
141,1.6992473774735117e-06,2.3625891204230822e-09,-0.00042684051841207466
142,6.205763838806888e-06,7.053425066068338e-09,0.00015014331539721528
143,-9.000820682558697e-06,-1.0454885404575629e-08,-0.002832357120732751
144,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
145,1.6877834241313394e-06,-1.6005189374287578e-08,0.003987020964696438
146,2.5185263439198025e-06,3.662942467567183e-09,0.0011720504399997409
147,-1.8234810568173998e-06,-1.583788541433712e-09,-0.0010074574817114156
148,1.583063976795529e-06,1.1107413440752118e-08,-0.0002482114425012717
149,8.499245041093673e-07,1.4773961232380587e-08,-0.0013752455432848364
150,-1.5259385008903337e-06,-8.536302498683716e-09,-2.478419590954881e-05
151,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
152,-1.9276501461718e-06,6.754865013701078e-09,-0.001182996094266028
153,-4.0666295717528556e-06,-1.0637708120945065e-09,-9.393570242240178e-05
154,-8.234439974330598e-07,6.2367636186144785e-09,-0.0008397559996258059
155,6.362269573401136e-07,8.427558977315853e-09,0.0004285436740970256
156,6.527804089273559e-06,1.806976448491087e-08,-0.0013327995945651538
157,4.788897513208212e-06,-2.315421020154991e-09,0.0020434537092401074
158,7.204205303423805e-07,1.4603537637507262e-08,-7.448692785240398e-05
159,5.385133135860087e-06,1.3754549494609954e-08,0.0011472571269288728
160,-3.2630043733661296e-06,-1.4450639900044817e-08,0.001456861057841472
161,4.741843440569937e-06,4.4014875240633705e-09,0.0019064091341074222
162,1.6192375369428191e-06,-5.021821401185781e-09,0.002350726112161628
163,-9.750385743245715e-07,-1.8176042115551978e-10,-0.0005315305773150834
164,-2.71177350441576e-06,-1.0573616306991614e-08,-0.0012273874102075154
165,3.3385647384420736e-06,1.2967467037887922e-08,-0.00043308332519267976
166,5.344236342352815e-07,4.198954090129684e-09,-0.0004202818862418474
167,-3.896332145814085e-06,-5.267420811694082e-09,-0.0019249545350408035
168,1.144921384366171e-06,-5.980613721872467e-10,-0.0010899766298774478
169,5.191925538383657e-06,5.857934182194887e-09,0.0012277784780084086
170,7.198703769972781e-06,1.4862761304687403e-08,0.0027995076580048846
171,1.0273012094330625e-06,-4.747531740933516e-10,-0.0006551057536238234
172,2.1050533405286842e-07,1.0675365792901944e-08,0.0002206490262287755
173,-2.4500138806615723e-06,-8.794091726750973e-09,0.0007188745836868809
174,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
175,2.0128181859035976e-06,1.991611504426242e-08,0.0017452666716591828
176,3.1804452191863675e-06,-4.775810288077217e-09,0.0027200542362422076
177,2.8715560347336577e-06,6.9453643554686844e-09,0.0020395889543919233
178,8.130256901495159e-06,-1.3480694071673969e-09,0.0025445297116351655
179,4.833499588130508e-06,-1.1398160605118084e-09,0.00214995083117411
180,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
181,-2.59935376334397e-07,2.4139821402587413e-09,-0.0011820080835393198
182,-4.364331289252732e-06,-1.578255549811563e-08,0.0005235685374991732
183,-1.806433488127368e-06,-1.0968305989886844e-09,-0.0021787233702264914
184,6.683460924250539e-06,1.792608259817195e-08,0.0021448173767476706
185,2.6067766611959087e-06,8.362051444841228e-09,-0.00037300460432621886
186,3.06048576703688e-07,1.2052427593259826e-08,0.00021494137279091512
187,-9.317878379988542e-07,1.7912097179375176e-09,-0.0003762337972461605
188,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
189,-2.039017317656544e-06,8.25182268364825e-09,2.9713122863055238e-05
190,-7.717846983723575e-08,7.458783547483327e-09,0.0006409892230839253
191,-1.2664995665545575e-06,6.951772411082985e-09,-0.0014555876244026105
192,1.0417459179734578e-06,-1.3096194550420065e-09,0.0005966809808160859
193,6.0501074585772585e-06,9.921661322670047e-09,0.002068860528028909
194,1.0938033483398613e-06,1.3799664479947976e-09,0.001244291657316731
195,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
196,-2.39607425100985e-06,-1.2871705880505257e-08,0.0013789805207393164
197,2.853026899174438e-06,2.56473718630751e-08,0.0012005486746828982
198,9.293306902691256e-06,1.5408397734584485e-08,0.002355107933576142
199,4.564778919302626e-06,-1.8007407422048488e-09,0.0027183452917387994
200,7.773423021717463e-06,8.997061781509748e-09,0.0017485355497368776
201,-2.6948993081532535e-07,6.415467895499436e-10,0.001005402942857111
202,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
203,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
204,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
205,-6.227706990102888e-07,-1.4742048536137325e-10,-0.00014430327681762083
206,8.365720987058012e-07,-9.407720416898207e-09,0.0007559653596592164
207,-3.128794560325332e-06,-6.371662450022219e-09,-0.0009037466449361755
208,5.521834737010067e-06,6.517267028400917e-09,0.002291919584881991
209,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
210,-1.4689890122099314e-06,-2.9387235017986e-09,-0.001716344640886912
211,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
212,2.5452127374592237e-06,-2.0301813647171383e-08,0.003088283204837036
213,5.2432001211855095e-06,1.838715049280768e-08,0.0003839192811240634
214,1.7026881096171564e-06,2.9135188858381585e-09,0.00019614508013706772
215,-2.5666058718343265e-06,4.154653638723185e-09,-0.001321366760420507
216,-3.621953510446474e-06,-2.330451840944332e-08,0.00033903678691882657
217,-1.7522595499031013e-06,-5.361425408992029e-09,-0.0005899073949378488
218,5.2357822823978495e-06,4.466043650295053e-09,0.0018593356348491116
219,6.513650077977218e-06,-1.666546373855071e-09,0.0038100417613711438
220,-6.3714501266076695e-06,-1.6456746761358537e-08,0.00017651405283125045
221,-2.9186724148644316e-08,-8.159259488315464e-09,0.00046632236291305266
222,-1.6994667930703145e-06,-1.4709228303563204e-09,-0.0001793959259449559
223,-2.927059085777728e-06,-1.7781008412887878e-09,-0.0014268969113447802
224,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
225,8.799001420811692e-07,3.5813874042089114e-10,-0.0002926497051484152
226,-1.6450339899165556e-06,4.239317933861551e-09,0.00010046562015724792
227,1.0880868330787052e-06,-8.001384618152955e-09,0.0017653652097873597
228,-3.6429560168471653e-06,-4.241583792033461e-09,-0.0008957079968332175
229,-2.0710988337668823e-06,-9.266950394897073e-09,4.191228425571756e-05
230,3.928655587515095e-06,1.0323014186305339e-08,0.0005478767577525869
231,4.957903456670465e-06,-2.060652875762627e-09,0.0011065956515413163
232,2.6148829874728108e-06,4.928201982390096e-09,-5.917487508145386e-05
233,7.394221938739065e-06,8.051704107406314e-09,0.0029274009568524464
234,3.5953951282863272e-06,8.227401532170428e-09,0.0013245714707253683
235,-2.4647927148180315e-06,-1.7182565460506917e-09,-0.001884193369847496
236,2.0882062017335556e-06,5.246921135607098e-09,0.0002274820601545157
237,1.4545757665018755e-07,-4.155832493325729e-10,-0.0004005528190710832
238,4.0755858208285645e-06,-6.0063912819714935e-09,0.0015058869954074627
239,3.1560946354147745e-06,8.955132915614952e-09,-0.0008806188271578788
240,-2.4598275558673777e-06,1.0231851810188811e-08,-0.002048943100114704
241,1.134695182258838e-07,-5.567519849303721e-09,-0.0015812684902036843
242,4.6137561184877995e-06,1.6369352170152073e-08,-0.00022943482023517377
243,-3.0329219953273423e-06,5.033484790440515e-09,-0.0011836926856051255
244,-6.382734227372566e-06,-2.2732368836362545e-08,0.0006302327119454719
245,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
246,-1.909552338474896e-06,6.545791282666223e-09,-0.004206862490018509
247,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
248,1.2847153811890166e-06,3.0185675865974257e-09,-0.0009681631495214475
249,-1.4921232605047408e-06,-9.286555540149009e-09,0.0007245223335660841
250,1.535325850454683e-06,4.388076856435654e-09,-0.001432054882922659
251,-1.8804031469699112e-06,-4.308155633700982e-09,-4.524928698163602e-05
252,1.754341155901784e-06,-3.2723285840665314e-09,0.0016274724166892222
253,6.421752232199651e-07,2.008165577988919e-08,-0.0009705881945096754
254,3.626103932674596e-07,-9.935100371465071e-09,0.0023170097924794628
